frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
0,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
0,2,655,411,769,654,0.554,0,712.000,654.000,3.257688,5.022785
0,3,1561,325,1664,550,0.525,0,1612.500,550.000,-3.080314,1.094482
0,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
0,5,748,366,807,479,0.377,0,777.500,479.000,18.095753,-0.439040
1,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
1,2,669,393,748,551,0.470,0,708.500,551.000,10.116185,3.050521
1,3,1565,325,1665,550,0.443,0,1615.000,550.000,-3.100532,1.091554
1,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
1,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
2,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
2,2,665,389,746,556,0.473,0,705.500,556.000,9.697542,3.206522
2,3,1565,325,1665,550,0.443,0,1615.000,550.000,-3.100532,1.091554
2,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
2,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
3,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
3,2,650,392,747,552,0.448,0,698.500,552.000,10.280184,3.119161
3,3,1565,325,1665,550,0.444,0,1615.000,550.000,-3.100532,1.091554
3,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
3,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
4,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
4,2,649,395,746,552,0.405,0,697.500,552.000,10.306952,3.123119
4,3,1565,325,1665,550,0.430,0,1615.000,550.000,-3.100532,1.091554
4,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
4,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
5,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
5,2,649,395,746,552,0.405,0,697.500,552.000,10.306952,3.123119
5,3,1565,326,1664,550,0.398,0,1614.500,550.000,-3.096493,1.092139
5,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
5,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
6,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
6,2,649,395,746,552,0.405,0,697.500,552.000,10.306952,3.123119
6,3,1565,326,1664,550,0.407,0,1614.500,550.000,-3.096493,1.092139
6,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
6,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
7,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
7,2,644,398,731,549,0.383,0,687.500,549.000,10.898660,3.073426
7,3,1565,326,1664,550,0.405,0,1614.500,550.000,-3.096493,1.092139
7,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
7,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
8,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
8,2,644,398,731,549,0.383,0,687.500,549.000,10.898660,3.073426
8,3,1565,326,1664,550,0.397,0,1614.500,550.000,-3.096493,1.092139
8,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
8,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
9,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
9,2,644,398,731,549,0.383,0,687.500,549.000,10.898660,3.073426
9,3,1565,326,1664,550,0.408,0,1614.500,550.000,-3.096493,1.092139
9,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
9,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
10,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
10,2,644,398,731,549,0.383,0,687.500,549.000,10.898660,3.073426
10,3,1565,326,1664,550,0.396,0,1614.500,550.000,-3.096493,1.092139
10,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
10,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
11,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
11,2,635,393,723,558,0.372,0,679.000,558.000,10.186066,3.368972
11,3,1565,326,1664,550,0.403,0,1614.500,550.000,-3.096493,1.092139
11,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
11,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
12,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
12,2,635,397,719,555,0.480,0,677.000,555.000,10.547721,3.292897
12,3,1565,326,1665,550,0.418,0,1615.000,550.000,-3.100532,1.091554
12,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
12,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
13,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
13,2,630,396,716,555,0.507,0,673.000,555.000,10.656462,3.309464
13,3,1565,326,1665,550,0.411,0,1615.000,550.000,-3.100532,1.091554
13,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
13,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
14,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
14,2,628,399,717,554,0.484,0,672.500,554.000,10.776349,3.282819
14,3,1565,326,1665,550,0.420,0,1615.000,550.000,-3.100532,1.091554
14,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
14,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
15,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
15,2,625,397,713,557,0.458,0,669.000,557.000,10.555174,3.382728
15,3,1565,325,1665,550,0.430,0,1615.000,550.000,-3.100532,1.091554
15,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
15,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
16,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
16,2,621,397,711,559,0.376,0,666.000,559.000,10.428554,3.450770
16,3,1565,326,1665,550,0.423,0,1615.000,550.000,-3.100532,1.091554
16,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
16,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
17,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
17,2,617,398,702,558,0.412,0,659.500,558.000,10.707933,3.450796
17,3,1565,325,1665,550,0.441,0,1615.000,550.000,-3.100532,1.091554
17,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
17,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
18,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
18,2,617,398,701,558,0.427,0,659.000,558.000,10.721557,3.452932
18,3,1565,325,1665,550,0.441,0,1615.000,550.000,-3.100532,1.091554
18,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
18,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
19,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
19,2,616,398,698,558,0.422,0,657.000,558.000,10.776175,3.461496
19,3,1565,325,1665,550,0.428,0,1615.000,550.000,-3.100532,1.091554
19,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
19,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
20,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
20,2,616,397,696,558,0.424,0,656.000,558.000,10.803559,3.465790
20,3,1565,326,1665,550,0.427,0,1615.000,550.000,-3.100532,1.091554
20,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
20,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
21,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
21,2,615,395,688,557,0.438,0,651.500,557.000,11.035364,3.457309
21,3,1565,326,1665,550,0.409,0,1615.000,550.000,-3.100532,1.091554
21,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
21,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
22,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
22,2,614,397,687,560,0.410,0,650.500,560.000,10.742048,3.544470
22,3,1565,326,1665,550,0.411,0,1615.000,550.000,-3.100532,1.091554
22,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
22,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
23,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
23,2,613,397,686,559,0.441,0,649.500,559.000,10.875463,3.521498
23,3,1565,326,1665,550,0.418,0,1615.000,550.000,-3.100532,1.091554
23,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
23,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
24,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
24,2,617,397,685,559,0.387,0,651.000,559.000,10.834281,3.514981
24,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.100532,1.091554
24,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
24,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
25,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
25,2,617,397,685,559,0.387,0,651.000,559.000,10.834281,3.514981
25,3,1565,326,1665,550,0.396,0,1615.000,550.000,-3.100532,1.091554
25,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
25,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
26,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
26,2,617,397,685,559,0.387,0,651.000,559.000,10.834281,3.514981
26,3,1565,326,1664,550,0.396,0,1614.500,550.000,-3.096493,1.092139
26,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
26,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
27,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
27,2,617,397,685,559,0.387,0,651.000,559.000,10.834281,3.514981
27,3,1565,326,1664,550,0.385,0,1614.500,550.000,-3.096493,1.092139
27,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
27,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
28,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
28,2,617,397,685,559,0.387,0,651.000,559.000,10.834281,3.514981
28,3,1565,326,1664,550,0.379,0,1614.500,550.000,-3.096493,1.092139
28,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
28,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
29,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
29,2,617,397,685,559,0.387,0,651.000,559.000,10.834281,3.514981
29,3,1565,326,1664,550,0.371,0,1614.500,550.000,-3.096493,1.092139
29,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
29,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
30,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
30,2,617,397,685,559,0.387,0,651.000,559.000,10.834281,3.514981
30,3,1565,326,1664,550,0.370,0,1614.500,550.000,-3.096493,1.092139
30,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
30,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
31,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
31,2,617,397,685,559,0.387,0,651.000,559.000,10.834281,3.514981
31,3,1565,326,1664,550,0.377,0,1614.500,550.000,-3.096493,1.092139
31,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
31,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
32,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
32,2,617,397,685,559,0.387,0,651.000,559.000,10.834281,3.514981
32,3,1565,326,1664,550,0.365,0,1614.500,550.000,-3.096493,1.092139
32,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.965755,-3.579850
32,5,724,380,785,483,0.354,0,754.500,483.000,18.389524,-0.136417
33,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.997201,1.436482
33,2,617,397,685,559,0.387,0,651.000,559.000,10.834281,3.514981
