frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
0,1,248.03,218.16,321.01,313.91,0.654,0,284.52,313.91,4.3365,-3.9980
0,2,189.00,211.22,249.83,299.25,0.453,0,219.42,299.25,3.5180,-4.2932
0,3,732.76,120.66,758.46,190.75,0.436,0,745.61,190.75,7.1088,4.9088
0,4,740.93,139.67,775.88,196.63,0.417,0,758.40,196.63,7.4206,4.5837
0,5,734.54,120.88,756.32,156.68,0.325,0,745.43,156.68,6.2870,9.3415
1,1,247.82,218.26,320.72,313.94,0.620,0,284.27,313.94,4.3350,-3.9998
1,2,189.82,211.28,248.48,296.07,0.453,0,219.15,296.07,3.4422,-4.2669
1,3,733.47,120.57,760.36,194.03,0.413,0,746.91,194.03,7.1861,4.6307
1,4,742.83,139.52,777.05,195.46,0.247,0,759.94,195.46,7.4301,4.7115
1,5,736.90,121.26,758.60,156.97,0.313,0,747.75,156.97,6.3522,9.3457
2,1,247.77,218.28,320.64,313.95,0.620,0,284.20,313.95,4.3347,-4.0004
2,2,189.91,211.29,248.27,295.52,0.455,0,219.09,295.52,3.4288,-4.2624
2,3,733.66,120.61,760.65,194.56,0.411,0,747.16,194.56,7.1988,4.5877
2,4,742.98,139.46,777.04,195.37,0.250,0,760.01,195.37,7.4301,4.7201
2,5,737.24,121.34,758.92,157.08,0.318,0,748.08,157.08,6.3639,9.3338
3,1,247.79,218.29,320.61,313.94,0.621,0,284.20,313.94,4.3344,-4.0003
3,2,189.88,211.26,248.28,295.40,0.457,0,219.08,295.40,3.4259,-4.2614
3,3,734.00,120.69,760.43,193.34,0.356,0,747.22,193.34,7.1800,4.6977
3,4,743.15,139.31,777.18,195.50,0.237,0,760.16,195.50,7.4345,4.7110
3,5,737.19,121.38,758.68,156.93,0.307,0,747.94,156.93,6.3555,9.3578
4,1,247.70,218.31,320.47,313.95,0.622,0,284.09,313.95,4.3337,-4.0011
4,2,189.80,211.28,248.34,295.44,0.457,0,219.07,295.44,3.4266,-4.2617
4,3,734.19,120.73,760.38,192.95,0.337,0,747.28,192.95,7.1747,4.7339
4,4,743.31,139.21,777.18,195.55,0.234,0,760.24,195.55,7.4366,4.7076
4,5,736.08,121.49,759.93,161.11,0.336,0,748.01,161.11,6.4869,8.6386
5,1,247.62,218.32,320.34,313.96,0.619,0,283.98,313.96,4.3332,-4.0019
5,2,189.72,211.32,248.41,295.49,0.456,0,219.06,295.49,3.4277,-4.2622
5,3,734.42,121.00,760.03,191.84,0.343,0,747.23,191.84,7.1554,4.8345
5,4,743.60,139.08,777.23,195.52,0.236,0,760.42,195.52,7.4391,4.7132
5,5,735.45,121.77,760.47,163.64,0.318,0,747.96,163.64,6.5587,8.2323
6,1,247.65,218.32,320.30,313.95,0.617,0,283.97,313.95,4.3329,-4.0018
6,2,189.65,211.32,248.50,295.51,0.455,0,219.07,295.51,3.4284,-4.2623
6,3,734.48,121.13,759.82,191.48,0.348,0,747.15,191.48,7.1480,4.8666
6,4,743.84,139.08,777.16,195.55,0.241,0,760.50,195.55,7.4409,4.7122
6,5,734.97,121.89,760.82,165.54,0.304,0,747.90,165.54,6.6096,7.9401
7,1,247.69,218.33,320.29,313.96,0.618,0,283.99,313.96,4.3331,-4.0018
7,2,189.57,211.33,248.58,295.53,0.455,0,219.08,295.53,3.4288,-4.2625
7,3,734.33,121.28,759.66,191.79,0.368,0,746.99,191.79,7.1505,4.8355
7,4,744.13,139.04,777.12,195.55,0.247,0,760.63,195.55,7.4431,4.7143
7,5,733.58,121.99,761.98,170.68,0.301,0,747.78,170.68,6.7391,7.2058
8,1,247.73,218.33,320.25,313.93,0.615,0,283.99,313.93,4.3326,-4.0015
8,2,189.49,211.32,248.67,295.54,0.454,0,219.08,295.54,3.4292,-4.2626
8,3,734.23,121.40,759.35,191.51,0.349,0,746.79,191.51,7.1423,4.8581
8,4,744.27,138.92,777.01,195.62,0.251,0,760.64,195.62,7.4443,4.7079
9,1,247.78,218.35,320.23,313.92,0.620,0,284.01,313.92,4.3325,-4.0013
9,2,188.95,211.19,249.83,297.89,0.448,0,219.39,297.89,3.4866,-4.2815
9,3,733.97,121.40,759.34,192.37,0.364,0,746.65,192.37,7.1543,4.7763
9,4,744.27,138.82,776.87,195.87,0.271,0,760.57,195.87,7.4466,4.6844
10,1,247.78,218.36,320.14,313.92,0.621,0,283.96,313.92,4.3322,-4.0016
10,2,188.79,211.15,250.21,298.70,0.445,0,219.50,298.70,3.5061,-4.2879
10,3,733.83,121.37,759.18,192.44,0.350,0,746.50,192.44,7.1530,4.7673
