frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
0,1,188.04,208.90,249.94,296.05,0.793,0,218.99,296.05,3.6027,-4.3294
0,2,244.96,218.72,312.46,313.58,0.723,0,278.71,313.58,4.4358,-4.1047
1,1,188.03,208.95,249.94,296.10,0.798,0,218.98,296.10,3.6039,-4.3300
1,2,245.11,218.63,312.77,313.71,0.705,0,278.94,313.71,4.4400,-4.1045
2,1,188.02,208.95,249.94,296.12,0.798,0,218.98,296.12,3.6042,-4.3301
2,2,245.13,218.61,312.83,313.73,0.706,0,278.98,313.73,4.4406,-4.1045
3,1,188.02,208.95,249.94,296.12,0.798,0,218.98,296.12,3.6043,-4.3302
3,2,245.12,218.61,312.84,313.74,0.705,0,278.98,313.74,4.4409,-4.1046
4,1,188.01,208.96,249.94,296.13,0.798,0,218.98,296.13,3.6045,-4.3303
4,2,245.15,218.63,312.87,313.74,0.703,0,279.01,313.74,4.4411,-4.1044
5,1,188.01,208.95,249.94,296.12,0.798,0,218.98,296.12,3.6043,-4.3302
5,2,245.16,218.64,312.86,313.71,0.701,0,279.01,313.71,4.4405,-4.1040
6,1,187.99,208.92,249.95,296.12,0.798,0,218.97,296.12,3.6041,-4.3302
6,2,245.15,218.65,312.87,313.70,0.703,0,279.01,313.70,4.4404,-4.1040
7,1,187.97,208.90,249.95,296.12,0.798,0,218.96,296.12,3.6041,-4.3303
7,2,245.12,218.65,312.84,313.70,0.708,0,278.98,313.70,4.4402,-4.1042
8,1,187.96,208.90,249.94,296.12,0.797,0,218.95,296.12,3.6042,-4.3304
8,2,245.00,218.65,312.83,313.86,0.717,0,278.91,313.86,4.4427,-4.1061
9,1,187.93,208.90,249.96,296.21,0.796,0,218.95,296.21,3.6062,-4.3312
9,2,244.96,218.66,312.81,313.91,0.715,0,278.89,313.91,4.4435,-4.1068
10,1,187.93,208.89,249.96,296.22,0.795,0,218.94,296.22,3.6064,-4.3313
10,2,244.91,218.67,312.75,313.93,0.720,0,278.83,313.93,4.4434,-4.1073
11,1,187.91,208.89,249.92,296.18,0.794,0,218.92,296.18,3.6053,-4.3311
11,2,244.90,218.68,312.73,313.95,0.720,0,278.81,313.95,4.4437,-4.1076
12,1,187.91,208.89,249.91,296.16,0.794,0,218.91,296.16,3.6048,-4.3310
12,2,244.90,218.68,312.72,313.94,0.719,0,278.81,313.94,4.4436,-4.1076
13,1,187.93,208.89,249.91,296.14,0.795,0,218.92,296.14,3.6044,-4.3308
13,2,244.92,218.69,312.71,313.94,0.719,0,278.81,313.94,4.4436,-4.1075
14,1,187.93,208.90,249.90,296.13,0.794,0,218.91,296.13,3.6041,-4.3307
14,2,244.92,218.69,312.71,313.95,0.719,0,278.81,313.95,4.4437,-4.1076
15,1,187.94,208.90,249.89,296.12,0.794,0,218.92,296.12,3.6038,-4.3306
15,2,244.93,218.69,312.70,313.94,0.718,0,278.82,313.94,4.4437,-4.1075
16,1,187.96,208.90,249.90,296.10,0.794,0,218.93,296.10,3.6035,-4.3304
16,2,244.94,218.66,312.73,313.94,0.721,0,278.83,313.94,4.4438,-4.1074
17,1,187.96,208.90,249.87,296.06,0.794,0,218.92,296.06,3.6024,-4.3301
17,2,244.96,218.67,312.72,313.92,0.724,0,278.84,313.92,4.4434,-4.1072
18,1,187.96,208.90,249.86,296.06,0.794,0,218.91,296.06,3.6022,-4.3300
18,2,244.96,218.68,312.70,313.93,0.724,0,278.83,313.93,4.4435,-4.1073
19,1,187.95,208.90,249.86,296.06,0.795,0,218.90,296.06,3.6023,-4.3301
19,2,244.83,218.72,312.69,314.20,0.725,0,278.76,314.20,4.4483,-4.1103
20,1,187.94,208.90,249.86,296.08,0.795,0,218.90,296.08,3.6026,-4.3303
20,2,244.75,218.71,312.67,314.37,0.728,0,278.71,314.37,4.4512,-4.1123
21,1,187.94,208.89,249.85,296.06,0.794,0,218.89,296.06,3.6022,-4.3302
21,2,244.78,218.72,312.60,314.29,0.731,0,278.69,314.29,4.4495,-4.1116
22,1,187.93,208.88,249.86,296.08,0.793,0,218.90,296.08,3.6027,-4.3303
22,2,244.81,218.72,312.59,314.29,0.730,0,278.70,314.29,4.4496,-4.1116
23,1,187.95,208.89,249.85,296.03,0.794,0,218.90,296.03,3.6015,-4.3299
23,2,244.85,218.72,312.59,314.31,0.728,0,278.72,314.31,4.4501,-4.1116
24,1,187.96,208.88,249.85,296.01,0.793,0,218.90,296.01,3.6011,-4.3297
24,2,244.87,218.72,312.57,314.32,0.730,0,278.72,314.32,4.4503,-4.1118
25,1,187.95,208.89,249.85,296.03,0.793,0,218.90,296.03,3.6016,-4.3299
25,2,244.88,218.70,312.55,314.32,0.729,0,278.72,314.32,4.4503,-4.1118
26,1,187.97,208.89,249.84,295.99,0.794,0,218.90,295.99,3.6006,-4.3295
26,2,244.89,218.70,312.54,314.36,0.731,0,278.71,314.36,4.4509,-4.1121
27,1,187.98,208.89,249.83,295.97,0.794,0,218.91,295.97,3.6001,-4.3293
27,2,244.91,218.72,312.51,314.36,0.731,0,278.71,314.36,4.4509,-4.1121
28,1,187.99,208.89,249.82,295.93,0.794,0,218.90,295.93,3.5992,-4.3290
28,2,244.94,218.73,312.48,314.34,0.732,0,278.71,314.34,4.4506,-4.1120
29,1,187.99,208.89,249.82,295.92,0.794,0,218.90,295.92,3.5988,-4.3288
29,2,244.96,218.73,312.49,314.34,0.731,0,278.73,314.34,4.4507,-4.1119
30,1,187.97,208.89,249.81,295.92,0.794,0,218.89,295.92,3.5988,-4.3289
30,2,244.99,218.73,312.48,314.33,0.731,0,278.73,314.33,4.4506,-4.1117
31,1,187.97,208.89,249.81,295.92,0.794,0,218.89,295.92,3.5987,-4.3289
31,2,245.00,218.73,312.48,314.33,0.732,0,278.74,314.33,4.4506,-4.1117
32,1,187.97,208.89,249.81,295.91,0.794,0,218.89,295.91,3.5986,-4.3289
32,2,245.01,218.72,312.46,314.32,0.732,0,278.74,314.32,4.4504,-4.1116
33,1,187.97,208.89,249.83,295.92,0.795,0,218.90,295.92,3.5988,-4.3289
33,2,245.01,218.72,312.46,314.33,0.732,0,278.74,314.33,4.4505,-4.1117
34,1,187.96,208.90,249.81,295.91,0.793,0,218.88,295.91,3.5985,-4.3289
34,2,245.03,218.72,312.45,314.31,0.732,0,278.74,314.31,4.4501,-4.1114
35,1,187.95,208.90,249.80,295.91,0.793,0,218.88,295.91,3.5983,-4.3289
35,2,244.98,218.72,312.51,314.51,0.731,0,278.75,314.51,4.4541,-4.1133
36,1,187.95,208.90,249.81,295.92,0.793,0,218.88,295.92,3.5985,-4.3289
36,2,244.97,218.72,312.53,314.59,0.731,0,278.75,314.59,4.4557,-4.1141
37,1,187.95,208.90,249.82,295.93,0.793,0,218.88,295.93,3.5989,-4.3291
37,2,244.97,218.71,312.53,314.63,0.731,0,278.75,314.63,4.4564,-4.1144
38,1,187.94,208.91,249.82,295.93,0.793,0,218.88,295.93,3.5990,-4.3291
38,2,244.98,218.70,312.52,314.63,0.731,0,278.75,314.63,4.4565,-4.1144
39,1,187.94,208.91,249.82,295.94,0.793,0,218.88,295.94,3.5991,-4.3292
39,2,244.99,218.70,312.51,314.63,0.731,0,278.75,314.63,4.4565,-4.1144
40,1,187.94,208.91,249.82,295.94,0.793,0,218.88,295.94,3.5992,-4.3292
40,2,245.00,218.70,312.50,314.63,0.731,0,278.75,314.63,4.4564,-4.1144
41,1,187.94,208.91,249.81,295.92,0.793,0,218.88,295.92,3.5985,-4.3290
41,2,245.01,218.69,312.52,314.66,0.729,0,278.76,314.66,4.4572,-4.1147
42,1,187.97,208.91,249.85,295.94,0.795,0,218.91,295.94,3.5993,-4.3290
42,2,245.01,218.69,312.52,314.68,0.728,0,278.77,314.68,4.4576,-4.1148
43,1,187.97,208.91,249.86,295.94,0.795,0,218.91,295.94,3.5995,-4.3290
43,2,245.02,218.70,312.52,314.69,0.728,0,278.77,314.69,4.4578,-4.1149
44,1,187.96,208.91,249.86,295.94,0.794,0,218.91,295.94,3.5994,-4.3289
44,2,245.03,218.70,312.50,314.67,0.729,0,278.76,314.67,4.4573,-4.1147
45,1,187.96,208.90,249.86,295.92,0.794,0,218.91,295.92,3.5990,-4.3288
45,2,245.03,218.71,312.49,314.68,0.730,0,278.76,314.68,4.4576,-4.1149
46,1,187.97,208.95,249.88,295.98,0.794,0,218.93,295.98,3.6004,-4.3292
46,2,245.04,218.72,312.48,314.68,0.730,0,278.76,314.68,4.4575,-4.1148
47,1,187.97,208.96,249.89,296.00,0.795,0,218.93,296.00,3.6010,-4.3293
47,2,245.05,218.73,312.48,314.69,0.729,0,278.76,314.69,4.4577,-4.1149
48,1,187.97,208.97,249.90,296.02,0.795,0,218.93,296.02,3.6015,-4.3295
48,2,245.05,218.73,312.48,314.71,0.729,0,278.77,314.71,4.4580,-4.1150
49,1,187.98,208.98,249.93,296.07,0.794,0,218.95,296.07,3.6028,-4.3299
49,2,245.05,218.74,312.45,314.70,0.730,0,278.75,314.70,4.4578,-4.1151
50,1,188.02,208.99,250.02,296.12,0.793,0,219.02,296.12,3.6046,-4.3299
50,2,245.06,218.75,312.46,314.70,0.729,0,278.76,314.70,4.4578,-4.1150
51,1,188.10,209.13,249.99,296.07,0.788,0,219.04,296.07,3.6037,-4.3293
51,2,245.07,218.76,312.40,314.63,0.736,0,278.73,314.63,4.4563,-4.1146
52,1,188.13,209.18,249.98,296.06,0.789,0,219.06,296.06,3.6033,-4.3291
52,2,245.07,218.77,312.37,314.61,0.736,0,278.72,314.61,4.4558,-4.1144
53,1,188.10,209.21,249.91,296.01,0.789,0,219.00,296.01,3.6018,-4.3290
53,2,245.04,218.77,312.35,314.64,0.735,0,278.70,314.64,4.4563,-4.1149
54,1,188.05,209.21,249.88,296.04,0.788,0,218.97,296.04,3.6022,-4.3295
54,2,245.03,218.77,312.35,314.67,0.735,0,278.69,314.67,4.4568,-4.1152
55,1,188.04,209.21,249.86,296.03,0.788,0,218.95,296.03,3.6019,-4.3295
55,2,245.03,218.78,312.32,314.66,0.736,0,278.68,314.66,4.4565,-4.1152
56,1,188.03,209.21,249.87,296.04,0.788,0,218.95,296.04,3.6022,-4.3297
56,2,245.01,218.76,312.30,314.66,0.738,0,278.66,314.66,4.4563,-4.1153
57,1,188.02,209.22,249.83,296.03,0.789,0,218.92,296.03,3.6017,-4.3297
57,2,245.00,218.73,312.31,314.68,0.734,0,278.66,314.68,4.4567,-4.1155
58,1,188.02,209.23,249.81,296.00,0.789,0,218.91,296.00,3.6009,-4.3295
58,2,245.01,218.72,312.29,314.66,0.733,0,278.65,314.66,4.4563,-4.1153
59,1,188.02,209.23,249.80,295.98,0.789,0,218.91,295.98,3.6004,-4.3294
59,2,245.04,218.72,312.31,314.63,0.730,0,278.67,314.63,4.4559,-4.1149
60,1,188.03,209.23,249.80,295.97,0.789,0,218.92,295.97,3.6002,-4.3292
60,2,245.04,218.69,312.30,314.61,0.733,0,278.67,314.61,4.4555,-4.1147
61,1,188.03,209.23,249.81,295.98,0.789,0,218.92,295.98,3.6004,-4.3293
61,2,244.93,218.48,312.67,315.32,0.736,0,278.80,315.32,4.4702,-4.1206
62,1,188.02,209.23,249.81,296.00,0.788,0,218.91,296.00,3.6010,-4.3295
62,2,244.94,218.40,312.76,315.59,0.736,0,278.85,315.59,4.4756,-4.1228
63,1,188.01,209.22,249.80,296.01,0.787,0,218.91,296.01,3.6011,-4.3297
63,2,244.98,218.37,312.76,315.68,0.735,0,278.87,315.68,4.4776,-4.1236
64,1,188.00,209.22,249.80,296.01,0.787,0,218.90,296.01,3.6010,-4.3297
64,2,245.09,218.57,312.28,315.02,0.734,0,278.69,315.02,4.4636,-4.1185
65,1,188.02,209.22,249.80,295.97,0.788,0,218.91,295.97,3.6002,-4.3293
65,2,245.14,218.64,312.14,314.77,0.731,0,278.64,314.77,4.4583,-4.1165
66,1,188.04,209.22,249.79,295.93,0.787,0,218.92,295.93,3.5993,-4.3289
66,2,245.16,218.66,312.10,314.65,0.733,0,278.63,314.65,4.4559,-4.1154
67,1,188.05,209.22,249.81,295.94,0.787,0,218.93,295.94,3.5995,-4.3288
