frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
0,1,187.24,209.08,249.38,294.75,0.776,0,218.31,294.75,3.5158,-4.2210
0,2,245.47,218.28,312.63,320.15,0.763,0,279.05,320.15,4.5141,-4.0739
1,1,187.27,209.12,249.55,294.97,0.788,0,218.41,294.97,3.5220,-4.2223
1,2,245.61,218.44,312.47,319.83,0.783,0,279.04,319.83,4.5080,-4.0713
2,1,187.28,209.13,249.58,295.02,0.787,0,218.43,295.02,3.5234,-4.2226
2,2,245.65,218.46,312.45,319.76,0.785,0,279.05,319.76,4.5067,-4.0706
3,1,187.26,209.13,249.60,295.07,0.787,0,218.43,295.07,3.5247,-4.2230
3,2,245.61,218.47,312.48,319.87,0.776,0,279.04,319.87,4.5087,-4.0716
4,1,187.24,209.13,249.63,295.14,0.786,0,218.43,295.14,3.5263,-4.2236
4,2,245.60,218.47,312.54,319.97,0.774,0,279.07,319.97,4.5107,-4.0723
5,1,187.24,209.13,249.62,295.12,0.787,0,218.43,295.12,3.5259,-4.2235
5,2,245.63,218.47,312.56,319.95,0.776,0,279.09,319.95,4.5105,-4.0719
6,1,187.21,209.10,249.62,295.14,0.787,0,218.42,295.14,3.5264,-4.2237
6,2,245.59,218.47,312.60,320.05,0.770,0,279.10,320.05,4.5124,-4.0728
7,1,187.20,209.09,249.62,295.14,0.788,0,218.41,295.14,3.5262,-4.2238
7,2,245.58,218.48,312.61,320.08,0.771,0,279.09,320.08,4.5129,-4.0731
8,1,187.19,209.08,249.62,295.16,0.788,0,218.40,295.16,3.5267,-4.2240
8,2,245.46,218.46,312.63,320.29,0.771,0,279.04,320.29,4.5166,-4.0751
9,1,187.18,209.09,249.68,295.28,0.787,0,218.43,295.28,3.5299,-4.2249
9,2,245.48,218.46,312.58,320.22,0.773,0,279.03,320.22,4.5151,-4.0746
10,1,187.26,209.08,249.67,295.14,0.788,0,218.46,295.14,3.5266,-4.2234
10,2,245.50,218.47,312.57,320.19,0.772,0,279.03,320.19,4.5146,-4.0743
11,1,187.29,209.08,249.63,295.02,0.788,0,218.46,295.02,3.5237,-4.2224
11,2,245.55,218.47,312.54,320.06,0.777,0,279.04,320.06,4.5122,-4.0732
12,1,187.30,209.09,249.61,294.98,0.788,0,218.46,294.98,3.5226,-4.2221
12,2,245.56,218.47,312.52,320.02,0.777,0,279.04,320.02,4.5114,-4.0728
13,1,187.30,209.08,249.60,294.94,0.788,0,218.45,294.94,3.5216,-4.2218
13,2,245.58,218.47,312.52,319.97,0.776,0,279.05,319.97,4.5107,-4.0724
14,1,187.28,209.08,249.62,294.99,0.787,0,218.45,294.99,3.5229,-4.2222
14,2,245.57,218.48,312.53,320.00,0.774,0,279.05,320.00,4.5112,-4.0726
15,1,187.24,209.09,249.67,295.13,0.788,0,218.45,295.13,3.5263,-4.2234
15,2,245.55,218.48,312.51,319.98,0.779,0,279.03,319.98,4.5107,-4.0726
16,1,187.24,209.09,249.67,295.14,0.789,0,218.45,295.14,3.5266,-4.2235
16,2,245.54,218.46,312.49,319.92,0.784,0,279.01,319.92,4.5094,-4.0722
17,1,187.24,209.09,249.65,295.11,0.789,0,218.45,295.11,3.5258,-4.2233
