frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
0,1,883,395,1034,600,0.8676937222480774,0,958,600,-2.398097515106201,-1.4198036193847656
0,2,1061,442,1178,643,0.7951981425285339,0,1119,643,-2.868469476699829,-1.9752638339996338
0,3,335,251,390,400,0.7432422637939453,0,362,400,nan,nan
0,4,1055,368,1152,493,0.730824887752533,0,1103,493,-0.7826859354972839,-2.0936050415039062
1,1,883,395,1034,600,0.8735772967338562,0,958,600,-2.398097515106201,-1.4198036193847656
1,2,1061,442,1178,643,0.8023404479026794,0,1119,643,-2.868469476699829,-1.9752638339996338
1,3,338,249,392,396,0.7334266901016235,0,365,396,nan,nan
1,4,1055,368,1152,493,0.7281523942947388,0,1103,493,-0.7826859354972839,-2.0936050415039062
2,1,883,395,1034,600,0.8705539107322693,0,958,600,-2.398097515106201,-1.4198036193847656
2,2,1061,442,1178,643,0.8012222051620483,0,1119,643,-2.868469476699829,-1.9752638339996338
2,3,339,248,392,394,0.5845398902893066,0,365,394,nan,nan
2,4,1055,368,1152,493,0.732974648475647,0,1103,493,-0.7826859354972839,-2.0936050415039062
3,1,883,395,1033,599,0.8675965666770935,0,958,599,-2.3863162994384766,-1.4194886684417725
3,2,1061,442,1177,643,0.8045786023139954,0,1119,643,-2.868469476699829,-1.9752638339996338
3,3,336,247,391,394,0.2391750067472458,0,363,394,nan,nan
3,4,1056,368,1153,493,0.7606455683708191,0,1104,493,-0.783148467540741,-2.098438024520874
4,1,883,395,1033,599,0.8709321022033691,0,958,599,-2.3863162994384766,-1.4194886684417725
4,2,1061,442,1178,643,0.8094756007194519,0,1119,643,-2.868469476699829,-1.9752638339996338
4,4,1057,368,1154,493,0.7791597247123718,0,1105,493,-0.7836108803749084,-2.103269338607788
5,1,882,395,1032,600,0.8758910298347473,0,957,600,-2.397955894470215,-1.4160126447677612
5,2,1061,442,1178,644,0.8105372190475464,0,1119,644,-2.8779244422912598,-1.974374532699585
5,4,1056,368,1154,493,0.7758229970932007,0,1105,493,-0.7836108803749084,-2.103269338607788
6,1,881,395,1032,600,0.8789870142936707,0,956,600,-2.3978140354156494,-1.4122207164764404
6,2,1062,442,1178,641,0.7807078957557678,0,1120,641,-2.849513053894043,-1.980377197265625
6,4,1056,368,1155,494,0.7783495187759399,0,1105,494,-0.8038798570632935,-2.1015727519989014
7,1,881,395,1032,600,0.8790050745010376,0,956,600,-2.3978140354156494,-1.4122207164764404
7,2,1062,442,1177,639,0.7759013175964355,0,1119,639,-2.830247640609741,-1.978858470916748
7,4,1056,368,1154,494,0.7832561135292053,0,1105,494,-0.8038798570632935,-2.1015727519989014
8,1,881,395,1032,600,0.8810951113700867,0,956,600,-2.3978140354156494,-1.4122207164764404
8,2,1062,442,1177,638,0.7811795473098755,0,1119,638,-2.8205904960632324,-1.9797667264938354
8,4,1055,368,1155,495,0.8050633668899536,0,1105,495,-0.8240243792533875,-2.099886655807495
9,1,881,395,1032,600,0.8798341751098633,0,956,600,-2.3978140354156494,-1.4122207164764404
9,2,1062,443,1177,640,0.7878180742263794,0,1119,640,-2.8398640155792236,-1.9779541492462158
9,4,1055,368,1155,495,0.8010296821594238,0,1105,495,-0.8240243792533875,-2.099886655807495
10,1,881,395,1032,601,0.8774292469024658,0,956,601,-2.409543514251709,-1.4125521183013916
10,2,1062,443,1178,640,0.7853823900222778,0,1120,640,-2.8399388790130615,-1.981284737586975
10,4,1055,368,1155,496,0.7966055870056152,0,1105,496,-0.8440455198287964,-2.0982108116149902
11,1,881,395,1032,601,0.877273440361023,0,956,601,-2.409543514251709,-1.4125521183013916
11,2,1063,443,1177,638,0.7745676040649414,0,1120,638,-2.8206679821014404,-1.9831113815307617
11,4,1055,368,1155,496,0.7999076843261719,0,1105,496,-0.8440455198287964,-2.0982108116149902
12,1,881,395,1032,601,0.8761071562767029,0,956,601,-2.409543514251709,-1.4125521183013916
12,2,1063,443,1177,638,0.7748008370399475,0,1120,638,-2.8206679821014404,-1.9831113815307617
12,4,1055,368,1155,496,0.8037800788879395,0,1105,496,-0.8440455198287964,-2.0982108116149902
13,1,881,395,1032,601,0.8764939308166504,0,956,601,-2.409543514251709,-1.4125521183013916
13,2,1062,444,1177,638,0.7753854393959045,0,1119,638,-2.8205904960632324,-1.9797667264938354
13,4,1056,368,1156,496,0.8182587623596191,0,1106,496,-0.8444932699203491,-2.102997064590454
14,1,881,395,1032,601,0.8757550716400146,0,956,601,-2.409543514251709,-1.4125521183013916
14,2,1062,444,1177,638,0.7793546319007874,0,1119,638,-2.8205904960632324,-1.9797667264938354
14,4,1055,368,1155,496,0.8122024536132812,0,1105,496,-0.8440455198287964,-2.0982108116149902
15,1,881,395,1032,600,0.8795440196990967,0,956,600,-2.3978140354156494,-1.4122207164764404
15,2,1062,444,1177,639,0.7803930044174194,0,1119,639,-2.830247640609741,-1.978858470916748
15,4,1056,368,1156,496,0.796506941318512,0,1106,496,-0.8444932699203491,-2.102997064590454
16,1,881,395,1032,600,0.8787169456481934,0,956,600,-2.3978140354156494,-1.4122207164764404
16,2,1062,444,1177,638,0.7768746018409729,0,1119,638,-2.8205904960632324,-1.9797667264938354
16,4,1055,368,1156,496,0.8009329438209534,0,1105,496,-0.8440455198287964,-2.0982108116149902
17,1,881,395,1032,600,0.8796574473381042,0,956,600,-2.3978140354156494,-1.4122207164764404
17,2,1062,444,1178,639,0.7695147395133972,0,1120,639,-2.8303239345550537,-1.9821960926055908
17,4,1055,368,1156,496,0.8023890852928162,0,1105,496,-0.8440455198287964,-2.0982108116149902
18,1,882,395,1032,601,0.8769902586936951,0,957,601,-2.4096834659576416,-1.416335105895996
18,2,1061,444,1178,639,0.7698155045509338,0,1119,639,-2.830247640609741,-1.978858470916748
18,4,1055,368,1156,496,0.8029282093048096,0,1105,496,-0.8440455198287964,-2.0982108116149902
19,1,882,395,1032,601,0.8768975734710693,0,957,601,-2.4096834659576416,-1.416335105895996
19,2,1062,444,1177,638,0.7774530649185181,0,1119,638,-2.8205904960632324,-1.9797667264938354
19,4,1055,368,1156,496,0.8059840798377991,0,1105,496,-0.8440455198287964,-2.0982108116149902
20,1,883,395,1033,600,0.8732947111129761,0,958,600,-2.398097515106201,-1.4198036193847656
20,2,1062,444,1176,633,0.7555087804794312,0,1119,633,-2.7716803550720215,-1.9843666553497314
20,4,1055,368,1155,496,0.800118625164032,0,1105,496,-0.8440455198287964,-2.0982108116149902
21,1,883,395,1033,600,0.8739567399024963,0,958,600,-2.398097515106201,-1.4198036193847656
21,2,1062,444,1175,630,0.7556480765342712,0,1118,630,-2.741737127304077,-1.9837720394134521
21,4,1055,368,1155,496,0.8013278841972351,0,1105,496,-0.8440455198287964,-2.0982108116149902
22,1,883,395,1034,600,0.8726291060447693,0,958,600,-2.398097515106201,-1.4198036193847656
22,2,1062,444,1175,629,0.7581056356430054,0,1118,629,-2.7316977977752686,-1.9847087860107422
22,4,1055,368,1155,496,0.8067296743392944,0,1105,496,-0.8440455198287964,-2.0982108116149902
23,1,883,395,1033,600,0.8736082911491394,0,958,600,-2.398097515106201,-1.4198036193847656
23,2,1062,444,1175,629,0.7580454349517822,0,1118,629,-2.7316977977752686,-1.9847087860107422
23,4,1055,368,1156,496,0.814320981502533,0,1105,496,-0.8440455198287964,-2.0982108116149902
24,1,883,395,1033,600,0.8705558180809021,0,958,600,-2.398097515106201,-1.4198036193847656
24,2,1062,444,1175,629,0.7601974010467529,0,1118,629,-2.7316977977752686,-1.9847087860107422
24,4,1055,368,1156,496,0.8154504299163818,0,1105,496,-0.8440455198287964,-2.0982108116149902
25,1,883,395,1033,600,0.8696180582046509,0,958,600,-2.398097515106201,-1.4198036193847656
25,2,1061,444,1175,629,0.7601478099822998,0,1118,629,-2.7316977977752686,-1.9847087860107422
25,4,1055,368,1156,496,0.8176131844520569,0,1105,496,-0.8440455198287964,-2.0982108116149902
26,1,883,395,1033,600,0.8718109130859375,0,958,600,-2.398097515106201,-1.4198036193847656
26,2,1061,444,1176,629,0.7606027126312256,0,1118,629,-2.7316977977752686,-1.9847087860107422
26,4,1055,368,1156,496,0.8179469704627991,0,1105,496,-0.8440455198287964,-2.0982108116149902
27,1,883,395,1033,600,0.8686152100563049,0,958,600,-2.398097515106201,-1.4198036193847656
27,2,1061,444,1176,629,0.7618445754051208,0,1118,629,-2.7316977977752686,-1.9847087860107422
27,4,1056,368,1156,495,0.8192572593688965,0,1106,495,-0.8244768977165222,-2.104687452316284
28,1,883,395,1033,600,0.8675163388252258,0,958,600,-2.398097515106201,-1.4198036193847656
