time,occu,temp,ac,lights
0,9,22,off,off
0.1,9,22,off,off
0.2,9,22,off,off
0.3,9,22,off,off
0.4,9,22,off,off
0.5,9,22,off,off
0.6,9,22,off,off
0.7,9,22,off,off
0.8,9,22,off,off
0.9,9,22,off,off
1,9,22,off,off
1.1,9,22,off,off
1.2,9,22,off,off
1.3,9,22,off,off
1.4,9,22,off,off
1.5,9,22,off,off
1.6,9,22,off,off
1.7,9,22,off,off
1.8,9,22,off,off
1.9,9,22,off,off
2,9,22,off,off
2.1,9,22,off,off
2.2,9,22,off,off
2.3,9,22,off,off
2.4,9,22,off,off
2.5,9,22,off,off
2.6,9,22,off,off
2.7,9,22,off,off
2.8,9,22,off,off
2.9,9,22,off,off
3,9,22,on,off
3.1,10,22,on,off
3.2,10,22,on,off
3.3,10,22,on,off
3.4,10,22,on,off
3.5,10,22,on,off
3.6,10,22,on,off
3.7,10,22,on,off
3.8,10,22,on,off
3.9,10,22,on,off
4,10,22,on,off
4.1,10,22,on,off
4.2,10,22,on,off
4.3,10,22,on,off
4.4,10,22,on,off
4.5,10,22,on,off
4.6,10,22,on,off
4.7,10,22,on,off
4.8,10,22,on,off
4.9,10,22,on,off
5,10,22,on,off
5.1,10,22,on,off
5.2,10,22,on,off
5.3,10,22,on,off
5.4,10,22,on,off
5.5,10,22,on,off
5.6,10,22,on,off
5.7,10,22,on,off
5.8,10,22,on,off
5.9,10,22,on,off
6,10,22,on,off
6.1,10,22,on,off
6.2,10,22,on,off
6.3,10,22,on,off
6.4,10,22,on,off
6.5,10,22,on,off
6.6,10,22,on,off
6.7,10,22,on,off
6.8,10,22,on,off
6.9,10,22,on,on
7,10,22,on,on
7.1,10,22,on,on
7.2,10,22,on,on
7.3,10,22,on,on
7.4,10,22,on,on
7.5,10,22,on,on
7.6,10,22,on,on
7.7,10,22,on,on
7.8,10,22,on,on
7.9,10,22,on,on
8,10,22,on,on
8.1,10,22,on,on
8.2,10,22,on,on
8.3,10,22,on,on
8.4,10,22,on,on
8.5,10,22,on,on
8.6,10,22,on,on
8.7,10,22,on,on
8.8,10,22,on,on
8.9,10,22,on,on
9,10,22,on,on
9.1,10,22,on,on
9.2,10,22,on,on
9.3,10,22,on,on
9.4,10,22,on,on
9.5,11,22,on,on
9.6,11,22,on,on
9.7,11,22,on,on
9.8,11,22,on,on
9.9,11,22,on,on
10,11,22,on,on
10.1,11,22,on,on
10.2,11,22,on,on
10.3,11,22,on,on
10.4,11,22,on,on
10.5,11,22,on,on
10.6,11,22,on,on
10.7,11,22,on,on
10.8,11,22,on,on
10.9,11,22,on,on
11,11,22,on,on
11.1,11,22,on,on
11.2,11,22,on,on
11.3,11,22,on,on
11.4,11,22,on,on
11.5,11,22,on,on
11.6,11,22,on,on
11.7,11,22,on,on
11.8,11,22,on,on
