frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
0,1,254.04,215.19,300.88,299.00,0.942,0,277.46,299.00,-4.9167,6.8913
0,2,554.88,81.78,585.87,177.81,0.875,0,570.37,177.81,-5.0528,3.4500
0,3,264.95,165.17,299.75,202.36,0.865,0,282.35,202.36,-1.9215,5.0301
0,4,660.69,64.97,677.69,124.97,0.824,0,669.19,124.97,-4.8487,1.9592
0,5,234.02,116.87,250.18,146.92,0.806,0,242.10,146.92,3.7952,2.8072
0,6,440.95,102.94,482.47,150.72,0.750,0,461.71,150.72,-3.0198,2.7820
0,7,213.05,137.64,236.73,201.73,0.748,0,224.89,201.73,-0.5104,5.4044
0,8,494.96,101.79,530.75,164.27,0.676,0,512.85,164.27,-4.1501,3.1698
0,9,199.40,137.47,212.93,172.33,0.634,0,206.16,172.33,2.6209,4.4113
1,1,253.08,215.11,300.19,299.39,0.953,0,276.64,299.39,-4.9174,6.9018
1,3,264.88,165.06,299.51,202.08,0.903,0,282.19,202.08,-1.9050,5.0231
1,5,230.08,117.75,246.55,148.48,0.757,0,238.31,148.48,3.8051,2.9162
1,6,440.97,102.84,482.48,150.59,0.709,0,461.73,150.59,-3.0154,2.7774
1,7,212.42,124.74,231.30,175.71,0.643,0,221.86,175.71,1.5995,4.4634
1,8,491.74,101.77,527.33,164.13,0.703,0,509.53,164.13,-4.1070,3.1699
1,9,200.81,138.33,213.76,171.51,0.680,0,207.29,171.51,2.6578,4.3638
2,1,252.93,215.09,300.09,299.48,0.953,0,276.51,299.48,-4.9180,6.9037
2,3,264.86,165.04,299.47,202.03,0.905,0,282.17,202.03,-1.9021,5.0218
2,5,229.37,117.65,245.68,148.14,0.777,0,237.53,148.14,3.8927,2.8954
2,6,440.97,102.82,482.49,150.57,0.708,0,461.73,150.57,-3.0147,2.7767
2,7,210.97,122.66,229.04,171.29,0.725,0,220.01,171.29,2.1049,4.2719
2,8,491.12,101.76,526.51,164.11,0.704,0,508.82,164.11,-4.0978,3.1701
2,9,201.63,138.81,214.45,171.37,0.617,0,208.04,171.37,2.6378,4.3519
2,10,142.14,141.80,151.46,166.72,0.710,0,146.80,166.72,7.1605,4.5893
2,11,247.64,107.68,264.17,142.90,0.698,0,255.90,142.90,3.5512,2.5240
2,12,205.62,122.77,222.57,171.06,0.672,0,214.09,171.06,2.3907,4.2978
2,13,142.85,139.07,153.92,165.58,0.566,0,148.39,165.58,7.2494,4.5020
3,1,252.90,215.04,300.09,299.51,0.953,0,276.49,299.51,-4.9185,6.9041
3,3,264.86,165.03,299.47,202.02,0.903,0,282.16,202.02,-1.9012,5.0213
3,5,229.39,117.60,245.45,147.74,0.748,0,237.42,147.74,3.9523,2.8684
3,6,440.95,102.82,482.50,150.56,0.708,0,461.72,150.56,-3.0144,2.7765
3,7,208.81,122.04,226.85,170.59,0.698,0,217.83,170.59,2.2717,4.2518
3,8,491.08,101.76,526.22,164.10,0.703,0,508.65,164.10,-4.0957,3.1701
3,9,202.00,138.72,215.01,171.34,0.634,0,208.51,171.34,2.6187,4.3474
3,10,142.14,141.79,151.46,166.71,0.712,0,146.80,166.71,7.1619,4.5890
3,11,247.51,107.92,263.89,142.82,0.662,0,255.70,142.82,3.5719,2.5188
3,12,203.19,123.56,219.83,171.04,0.607,0,211.51,171.04,2.5113,4.3133
3,13,142.85,139.05,153.93,165.56,0.563,0,148.39,165.56,7.2527,4.5007
4,1,252.92,215.02,300.11,299.51,0.953,0,276.52,299.51,-4.9187,6.9040
4,3,264.87,165.03,299.48,202.02,0.902,0,282.17,202.02,-1.9017,5.0214
4,5,229.42,117.72,245.45,147.93,0.762,0,237.43,147.93,3.9257,2.8815
4,6,440.95,102.82,482.51,150.56,0.706,0,461.73,150.56,-3.0141,2.7762
4,7,207.12,122.37,224.97,170.58,0.609,0,216.05,170.58,2.3531,4.2622
4,8,491.31,101.77,526.16,164.09,0.704,0,508.74,164.09,-4.0965,3.1698
4,9,202.15,138.52,215.50,171.43,0.683,0,208.83,171.43,2.5938,4.3498
4,10,142.15,141.82,151.46,166.70,0.711,0,146.80,166.70,7.1634,4.5883
4,11,247.55,108.80,263.54,142.88,0.679,0,255.54,142.88,3.5728,2.5228
4,12,202.47,127.44,217.82,171.06,0.540,0,210.15,171.06,2.5729,4.3228
4,13,142.87,139.13,153.92,165.57,0.564,0,148.39,165.57,7.2509,4.5012
5,1,252.94,214.95,300.13,299.46,0.954,0,276.54,299.46,-4.9179,6.9033
5,3,264.89,165.04,299.48,202.02,0.908,0,282.18,202.02,-1.9016,5.0212
5,5,229.18,117.84,245.18,148.10,0.857,0,237.18,148.10,3.9184,2.8928
5,6,440.93,102.82,482.52,150.55,0.705,0,461.73,150.55,-3.0139,2.7760
5,7,206.25,124.94,223.14,170.24,0.607,0,214.70,170.24,2.4502,4.2539
5,8,491.51,101.76,526.06,164.08,0.702,0,508.78,164.08,-4.0967,3.1694
5,9,202.11,138.78,215.67,171.55,0.760,0,208.89,171.55,2.5776,4.3553
5,10,142.18,141.78,151.50,166.69,0.710,0,146.84,166.69,7.1634,4.5871
5,11,247.70,109.60,263.48,143.12,0.699,0,255.59,143.12,3.5401,2.5394
5,13,142.91,139.10,153.96,165.57,0.567,0,148.43,165.57,7.2487,4.5004
6,1,252.96,214.94,300.14,299.46,0.954,0,276.55,299.46,-4.9179,6.9031
6,3,264.89,165.03,299.48,202.01,0.909,0,282.18,202.01,-1.9011,5.0209
6,5,229.24,117.93,245.21,148.23,0.856,0,237.22,148.23,3.8986,2.9017
6,6,440.92,102.82,482.54,150.54,0.705,0,461.73,150.54,-3.0137,2.7757
6,8,491.68,101.76,525.90,164.09,0.701,0,508.79,164.09,-4.0969,3.1695
6,9,201.24,138.90,214.99,171.70,0.717,0,208.12,171.70,2.5977,4.3677
6,10,142.19,141.81,151.50,166.67,0.712,0,146.84,166.67,7.1659,4.5861
6,11,247.87,110.49,263.31,143.20,0.659,0,255.59,143.20,3.5303,2.5447
6,13,142.92,139.12,153.97,165.55,0.567,0,148.44,165.55,7.2508,4.4994
7,1,252.95,214.89,300.13,299.42,0.954,0,276.54,299.42,-4.9170,6.9027
7,3,264.91,165.04,299.48,201.99,0.912,0,282.20,201.99,-1.9007,5.0204
7,5,229.23,117.95,245.08,148.16,0.809,0,237.15,148.16,3.9119,2.8969
7,6,440.88,102.82,482.56,150.56,0.705,0,461.72,150.56,-3.0143,2.7765
7,8,491.91,101.75,525.80,164.10,0.703,0,508.85,164.10,-4.0979,3.1697
7,9,200.72,139.19,214.55,171.82,0.736,0,207.63,171.82,2.6079,4.3764
7,10,142.18,141.85,151.48,166.67,0.716,0,146.83,166.67,7.1673,4.5861
7,11,248.07,111.96,262.94,143.20,0.662,0,255.50,143.20,3.5354,2.5445
7,13,142.93,139.14,153.96,165.54,0.569,0,148.44,165.54,7.2525,4.4988
7,7,206.21,124.78,223.58,170.60,0.600,0,214.90,170.60,2.4033,4.2701
8,1,252.94,214.92,300.13,299.50,0.954,0,276.54,299.50,-4.9187,6.9037
8,3,264.92,165.05,299.46,201.98,0.910,0,282.19,201.98,-1.9003,5.0202
8,5,229.19,117.95,244.85,147.97,0.799,0,237.02,147.97,3.9445,2.8845
8,6,440.86,102.82,482.58,150.57,0.705,0,461.72,150.57,-3.0146,2.7768
8,8,492.10,101.75,525.66,164.10,0.704,0,508.88,164.10,-4.0983,3.1697
8,9,200.52,139.75,214.32,172.00,0.543,0,207.42,172.00,2.5985,4.3866
8,10,142.18,141.91,151.45,166.67,0.712,0,146.81,166.67,7.1693,4.5861
8,11,248.01,113.12,262.48,143.15,0.622,0,255.25,143.15,3.5554,2.5412
8,13,142.93,139.17,153.96,165.54,0.567,0,148.45,165.54,7.2532,4.4985
8,7,204.93,123.52,223.41,170.86,0.637,0,214.17,170.86,2.4085,4.2875
9,1,252.92,214.96,300.10,299.54,0.954,0,276.51,299.54,-4.9195,6.9045
9,3,264.93,165.07,299.45,201.98,0.905,0,282.19,201.98,-1.8999,5.0200
9,5,229.09,117.70,244.75,147.89,0.817,0,236.92,147.89,3.9600,2.8797
9,6,440.84,102.82,482.59,150.57,0.707,0,461.72,150.57,-3.0145,2.7767
9,8,492.38,101.75,525.64,164.11,0.705,0,509.01,164.11,-4.1003,3.1700
9,10,142.18,141.95,151.44,166.68,0.715,0,146.81,166.68,7.1678,4.5868
9,11,247.55,113.62,261.91,143.04,0.533,0,254.73,143.04,3.5964,2.5341
9,13,142.91,139.19,153.94,165.55,0.566,0,148.43,165.55,7.2519,4.4996
9,7,204.07,123.01,223.31,171.25,0.529,0,213.69,171.25,2.3892,4.3095
10,1,252.95,214.93,300.09,299.48,0.954,0,276.52,299.48,-4.9181,6.9036
10,3,264.92,165.07,299.45,201.97,0.908,0,282.18,201.97,-1.8993,5.0198
10,5,229.11,117.67,244.68,147.85,0.845,0,236.90,147.85,3.9671,2.8767
10,6,440.82,102.82,482.60,150.57,0.706,0,461.71,150.57,-3.0146,2.7769
10,8,492.49,101.75,525.43,164.11,0.701,0,508.96,164.11,-4.0996,3.1700
10,10,142.17,141.94,151.45,166.70,0.716,0,146.81,166.70,7.1640,4.5878
10,13,142.90,139.20,153.94,165.59,0.569,0,148.42,165.59,7.2458,4.5020
10,7,203.30,123.04,222.91,171.34,0.508,0,213.10,171.34,2.4066,4.3175
11,1,252.96,214.97,300.06,299.48,0.953,0,276.51,299.48,-4.9181,6.9037
11,3,264.94,165.07,299.45,201.95,0.910,0,282.19,201.95,-1.8988,5.0193
11,5,229.08,117.65,244.60,147.89,0.850,0,236.84,147.89,3.9655,2.8794
11,6,440.80,102.82,482.61,150.58,0.711,0,461.70,150.58,-3.0144,2.7769
11,8,492.68,101.75,525.32,164.11,0.703,0,509.00,164.11,-4.1000,3.1699
11,10,142.18,141.93,151.46,166.68,0.715,0,146.82,166.68,7.1661,4.5870
11,13,142.90,139.19,153.95,165.58,0.572,0,148.42,165.58,7.2473,4.5013
12,1,252.96,214.98,300.05,299.48,0.953,0,276.51,299.48,-4.9181,6.9037
12,3,264.94,165.08,299.46,201.96,0.908,0,282.20,201.96,-1.8994,5.0196
12,5,228.92,117.58,244.45,147.96,0.835,0,236.68,147.96,3.9642,2.8848
12,6,440.79,102.82,482.62,150.57,0.712,0,461.70,150.57,-3.0143,2.7768
12,8,492.75,101.75,525.09,164.11,0.703,0,508.92,164.11,-4.0990,3.1699
12,10,142.17,141.96,151.45,166.69,0.718,0,146.81,166.69,7.1666,4.5872
12,13,142.89,139.23,153.92,165.57,0.575,0,148.40,165.57,7.2505,4.5010
12,7,201.22,122.75,221.25,171.39,0.636,0,211.23,171.39,2.4868,4.3320
13,1,252.97,214.95,300.04,299.45,0.953,0,276.51,299.45,-4.9173,6.9033
13,3,264.95,165.07,299.47,201.97,0.907,0,282.21,201.97,-1.8999,5.0196
13,5,228.77,117.49,244.18,147.76,0.794,0,236.48,147.76,4.0025,2.8716
13,6,440.76,102.81,482.64,150.57,0.713,0,461.70,150.57,-3.0142,2.7767
13,8,492.80,101.76,524.85,164.10,0.701,0,508.82,164.10,-4.0977,3.1699
13,10,142.16,141.89,151.45,166.64,0.721,0,146.80,166.64,7.1758,4.5844
13,13,142.88,139.16,153.91,165.48,0.576,0,148.40,165.48,7.2691,4.4951
13,7,199.93,122.58,220.29,171.50,0.508,0,210.11,171.50,2.5266,4.3448
14,1,252.98,214.98,300.03,299.45,0.953,0,276.51,299.45,-4.9173,6.9033
14,3,264.95,165.06,299.49,201.98,0.907,0,282.22,201.98,-1.9005,5.0198
14,5,228.66,117.48,243.94,147.62,0.768,0,236.30,147.62,4.0318,2.8622
14,6,440.74,102.82,482.64,150.57,0.713,0,461.69,150.57,-3.0142,2.7768
14,8,492.97,101.76,524.74,164.10,0.702,0,508.86,164.10,-4.0981,3.1699
14,10,142.15,141.85,151.45,166.62,0.728,0,146.80,166.62,7.1794,4.5832
14,13,142.88,139.18,153.90,165.46,0.588,0,148.39,165.46,7.2737,4.4941
14,7,199.24,122.78,219.93,171.80,0.530,0,209.58,171.80,2.5189,4.3627
14,11,243.00,114.47,256.59,143.02,0.503,0,249.80,143.02,3.8708,2.5345
15,1,252.98,214.96,300.04,299.47,0.953,0,276.51,299.47,-4.9178,6.9035
15,3,264.96,165.05,299.50,202.00,0.905,0,282.23,202.00,-1.9017,5.0204
15,5,228.66,117.58,243.80,147.56,0.718,0,236.23,147.56,4.0439,2.8582
15,6,440.73,102.83,482.64,150.57,0.713,0,461.69,150.57,-3.0142,2.7769
15,8,493.17,101.75,524.73,164.11,0.702,0,508.95,164.11,-4.0996,3.1701
15,10,142.15,141.90,151.43,166.62,0.732,0,146.79,166.62,7.1816,4.5831
15,13,142.88,139.25,153.88,165.47,0.586,0,148.38,165.47,7.2726,4.4947
15,7,198.53,122.61,219.63,171.87,0.571,0,209.08,171.87,2.5344,4.3695
15,11,242.92,114.55,256.20,142.96,0.566,0,249.56,142.96,3.8917,2.5305
16,1,252.98,214.98,300.07,299.56,0.952,0,276.53,299.56,-4.9199,6.9046
16,3,264.97,165.04,299.51,202.00,0.906,0,282.24,202.00,-1.9018,5.0203
16,5,228.68,117.66,243.68,147.47,0.709,0,236.18,147.47,4.0578,2.8527
16,6,440.72,102.83,482.65,150.58,0.713,0,461.68,150.58,-3.0143,2.7770
16,8,493.28,101.74,524.63,164.11,0.702,0,508.96,164.11,-4.0995,3.1700
16,10,142.17,141.74,151.52,166.61,0.733,0,146.85,166.61,7.1774,4.5823
16,13,142.90,139.12,153.93,165.42,0.596,0,148.42,165.42,7.2788,4.4913
16,7,197.77,122.82,219.12,171.98,0.608,0,208.44,171.98,2.5525,4.3789
