frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
1,1,883,394,1036,604,0.8467282652854919,0,959,604,-2.4448049068450928,-1.4248026609420776
1,2,1056,368,1145,478,0.7024706602096558,0,1100,478,-0.461099237203598,-2.1047120094299316
1,3,330,249,395,423,0.5984684824943542,0,362,423,nan,nan
1,4,1063,444,1176,649,0.5136587023735046,0,1119,649,-2.9246087074279785,-1.9699839353561401
2,1,883,395,1035,603,0.845342218875885,0,959,603,-2.4332454204559326,-1.4245024919509888
2,2,1056,368,1145,479,0.7005547881126404,0,1100,479,-0.48341187834739685,-2.1029269695281982
2,3,328,249,393,423,0.5951522588729858,0,360,423,nan,nan
2,4,1062,444,1177,653,0.5349458456039429,0,1119,653,-2.9612622261047363,-1.9665367603302002
3,1,883,395,1035,602,0.8485425114631653,0,959,602,-2.4216318130493164,-1.4242008924484253
3,2,1056,368,1145,479,0.7008174061775208,0,1100,479,-0.48341187834739685,-2.1029269695281982
3,3,327,247,392,423,0.6301105618476868,0,359,423,nan,nan
3,4,1061,444,1178,654,0.5410633087158203,0,1119,654,-2.9703311920166016,-1.9656838178634644
4,1,882,395,1034,602,0.848282516002655,0,958,602,-2.4214937686920166,-1.420428991317749
4,2,1056,368,1145,479,0.7045542001724243,0,1100,479,-0.48341187834739685,-2.1029269695281982
4,3,327,246,393,423,0.5440421104431152,0,360,423,nan,nan
4,4,1061,444,1178,653,0.5402147173881531,0,1119,653,-2.9612622261047363,-1.9665367603302002
5,1,882,395,1034,602,0.8494279980659485,0,958,602,-2.4214937686920166,-1.420428991317749
5,2,1056,368,1145,478,0.7047261595726013,0,1100,478,-0.461099237203598,-2.1047120094299316
5,3,328,245,393,423,0.44467052817344666,0,360,423,nan,nan
5,4,1062,444,1177,653,0.4983403980731964,0,1119,653,-2.9612622261047363,-1.9665367603302002
6,1,881,395,1034,602,0.8529541492462158,0,957,602,-2.421355724334717,-1.4166560173034668
6,2,1056,368,1144,478,0.7110497355461121,0,1100,478,-0.461099237203598,-2.1047120094299316
6,4,1062,444,1177,652,0.5051462054252625,0,1119,652,-2.952155828475952,-1.967393159866333
7,1,881,395,1034,602,0.8494465351104736,0,957,602,-2.421355724334717,-1.4166560173034668
7,2,1056,368,1144,478,0.7127580642700195,0,1100,478,-0.461099237203598,-2.1047120094299316
7,4,1062,444,1178,653,0.4821084439754486,0,1120,653,-2.9613211154937744,-1.9697792530059814
8,1,881,395,1034,602,0.8465316295623779,0,957,602,-2.421355724334717,-1.4166560173034668
8,2,1056,368,1144,478,0.7055564522743225,0,1100,478,-0.461099237203598,-2.1047120094299316
8,4,1065,443,1175,641,0.46657854318618774,0,1120,641,-2.849513053894043,-1.980377197265625
9,1,881,395,1034,602,0.8491497039794922,0,957,602,-2.421355724334717,-1.4166560173034668
9,2,1056,368,1144,476,0.6948907375335693,0,1100,476,-0.416036993265152,-2.1083171367645264
9,4,1066,443,1174,636,0.4341166615486145,0,1120,636,-2.801232099533081,-1.9849536418914795
10,1,881,394,1034,603,0.8519665002822876,0,957,603,-2.4329731464385986,-1.4169753789901733
10,2,1057,368,1143,474,0.6844469904899597,0,1100,474,-0.3703824579715729,-2.111969470977783
10,4,1066,443,1174,635,0.44275835156440735,0,1120,635,-2.7914516925811768,-1.9858806133270264
11,1,880,394,1035,603,0.8515825867652893,0,957,603,-2.4329731464385986,-1.4169753789901733
11,2,1057,368,1143,474,0.6654508709907532,0,1100,474,-0.3703824579715729,-2.111969470977783
11,4,1062,444,1177,648,0.4288635849952698,0,1119,648,-2.9153497219085693,-1.9708547592163086
12,1,880,394,1035,603,0.8508718013763428,0,957,603,-2.4329731464385986,-1.4169753789901733
12,2,1057,368,1143,474,0.6601280570030212,0,1100,474,-0.3703824579715729,-2.111969470977783
12,4,1065,443,1175,639,0.42916515469551086,0,1120,639,-2.8303239345550537,-1.9821960926055908
13,1,880,394,1035,603,0.8520983457565308,0,957,603,-2.4329731464385986,-1.4169753789901733
13,2,1057,368,1143,474,0.6611343026161194,0,1100,474,-0.3703824579715729,-2.111969470977783
13,4,1065,443,1175,635,0.43980586528778076,0,1120,635,-2.7914516925811768,-1.9858806133270264
14,1,880,394,1034,603,0.8540770411491394,0,957,603,-2.4329731464385986,-1.4169753789901733
14,2,1057,368,1143,474,0.664587676525116,0,1100,474,-0.3703824579715729,-2.111969470977783
14,4,1066,443,1174,632,0.43087494373321533,0,1120,632,-2.761857271194458,-1.9886858463287354
15,1,880,394,1034,603,0.8528162837028503,0,957,603,-2.4329731464385986,-1.4169753789901733
15,2,1057,368,1143,473,0.6711477637290955,0,1100,473,-0.3473294675350189,-2.113813638687134
15,4,1067,443,1174,629,0.4549221396446228,0,1120,629,-2.731877088546753,-1.9915275573730469
16,1,880,394,1034,603,0.8515591621398926,0,957,603,-2.4329731464385986,-1.4169753789901733
16,2,1058,368,1143,472,0.6725476384162903,0,1100,472,-0.32412394881248474,-2.1156702041625977
16,4,1067,443,1174,627,0.4777776002883911,0,1120,627,-2.71167254447937,-1.9934426546096802
17,1,880,395,1034,603,0.8516973853111267,0,957,603,-2.4329731464385986,-1.4169753789901733
17,2,1058,368,1142,471,0.6717107892036438,0,1100,471,-0.30076441168785095,-2.1175389289855957
17,4,1066,443,1175,629,0.47473084926605225,0,1120,629,-2.731877088546753,-1.9915275573730469
18,1,880,395,1034,603,0.8516653180122375,0,957,603,-2.4329731464385986,-1.4169753789901733
18,2,1057,368,1142,471,0.6732781529426575,0,1099,471,-0.30017873644828796,-2.1123530864715576
18,4,1066,443,1175,627,0.4710293710231781,0,1120,627,-2.71167254447937,-1.9934426546096802
19,1,880,395,1034,603,0.8521509170532227,0,957,603,-2.4329731464385986,-1.4169753789901733
19,2,1057,368,1143,472,0.6676483154296875,0,1100,472,-0.32412394881248474,-2.1156702041625977
19,4,1066,443,1175,627,0.4750911295413971,0,1120,627,-2.71167254447937,-1.9934426546096802
20,1,880,395,1034,603,0.8527289032936096,0,957,603,-2.4329731464385986,-1.4169753789901733
20,2,1057,368,1143,472,0.6593702435493469,0,1100,472,-0.32412394881248474,-2.1156702041625977
20,4,1065,443,1176,628,0.47179025411605835,0,1120,628,-2.721796751022339,-1.9924830198287964
21,1,880,394,1034,603,0.8534208536148071,0,957,603,-2.4329731464385986,-1.4169753789901733
21,2,1057,368,1143,472,0.6574016213417053,0,1100,472,-0.32412394881248474,-2.1156702041625977
21,4,1065,443,1176,628,0.4678272306919098,0,1120,628,-2.721796751022339,-1.9924830198287964
22,1,880,394,1034,603,0.8544501662254333,0,957,603,-2.4329731464385986,-1.4169753789901733
22,2,1057,368,1142,470,0.6780393123626709,0,1099,470,-0.2766573429107666,-2.1142172813415527
22,4,1065,443,1176,628,0.46679288148880005,0,1120,628,-2.721796751022339,-1.9924830198287964
23,1,880,394,1034,603,0.8543777465820312,0,957,603,-2.4329731464385986,-1.4169753789901733
23,2,1057,368,1142,470,0.6740039587020874,0,1099,470,-0.2766573429107666,-2.1142172813415527
23,4,1065,443,1176,627,0.46090471744537354,0,1120,627,-2.71167254447937,-1.9934426546096802
24,1,880,394,1034,603,0.8543708920478821,0,957,603,-2.4329731464385986,-1.4169753789901733
24,2,1057,368,1142,470,0.6728166341781616,0,1099,470,-0.2766573429107666,-2.1142172813415527
24,4,1065,443,1176,628,0.46516892313957214,0,1120,628,-2.721796751022339,-1.9924830198287964
25,1,880,394,1034,603,0.8540160655975342,0,957,603,-2.4329731464385986,-1.4169753789901733
25,2,1057,368,1142,470,0.6716729402542114,0,1099,470,-0.2766573429107666,-2.1142172813415527
25,4,1064,443,1177,628,0.4701540470123291,0,1120,628,-2.721796751022339,-1.9924830198287964
26,1,880,395,1034,603,0.8529855012893677,0,957,603,-2.4329731464385986,-1.4169753789901733
26,2,1055,368,1144,475,0.6399551630020142,0,1099,475,-0.39272332191467285,-2.105017900466919
26,4,1064,443,1176,628,0.46888279914855957,0,1120,628,-2.721796751022339,-1.9924830198287964
27,1,880,395,1034,603,0.8538236618041992,0,957,603,-2.4329731464385986,-1.4169753789901733
27,2,1055,368,1145,476,0.6399070620536804,0,1100,476,-0.416036993265152,-2.1083171367645264
