frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
0,1,883,395,1034,600,0.8676937222480774,0,958,600,-2.398097515106201,-1.4198036193847656
0,2,1061,442,1178,643,0.7951981425285339,0,1119,643,-2.868469476699829,-1.9752638339996338
0,3,335,251,390,400,0.7432422637939453,0,362,400,nan,nan
0,4,1055,368,1152,493,0.730824887752533,0,1103,493,-0.7826859354972839,-2.0936050415039062
1,1,883,395,1034,600,0.873958170413971,0,958,600,-2.398097515106201,-1.4198036193847656
1,2,1061,442,1178,643,0.7933355569839478,0,1119,643,-2.868469476699829,-1.9752638339996338
1,3,336,250,391,398,0.7346117496490479,0,363,398,nan,nan
1,4,1055,368,1152,493,0.7315962314605713,0,1103,493,-0.7826859354972839,-2.0936050415039062
2,1,883,395,1034,600,0.8735772967338562,0,958,600,-2.398097515106201,-1.4198036193847656
2,2,1061,442,1178,643,0.8023404479026794,0,1119,643,-2.868469476699829,-1.9752638339996338
2,3,338,249,392,396,0.7334266901016235,0,365,396,nan,nan
2,4,1055,368,1152,493,0.7281523942947388,0,1103,493,-0.7826859354972839,-2.0936050415039062
3,1,883,395,1034,600,0.8701673150062561,0,958,600,-2.398097515106201,-1.4198036193847656
3,2,1061,442,1178,643,0.8009584546089172,0,1119,643,-2.868469476699829,-1.9752638339996338
3,3,339,249,393,395,0.7052062153816223,0,366,395,nan,nan
3,4,1055,368,1152,493,0.728837251663208,0,1103,493,-0.7826859354972839,-2.0936050415039062
4,1,883,395,1034,600,0.8705539107322693,0,958,600,-2.398097515106201,-1.4198036193847656
4,2,1061,442,1178,643,0.8012222051620483,0,1119,643,-2.868469476699829,-1.9752638339996338
4,3,339,248,393,394,0.5845398902893066,0,366,394,nan,nan
4,4,1055,368,1152,493,0.732974648475647,0,1103,493,-0.7826859354972839,-2.0936050415039062
5,1,883,395,1034,600,0.8702186942100525,0,958,600,-2.398097515106201,-1.4198036193847656
5,2,1061,442,1177,643,0.803333044052124,0,1119,643,-2.868469476699829,-1.9752638339996338
5,3,338,248,392,394,0.5560200810432434,0,365,394,nan,nan
5,4,1055,368,1152,493,0.7416999340057373,0,1103,493,-0.7826859354972839,-2.0936050415039062
6,1,883,395,1034,599,0.8675965666770935,0,958,599,-2.3863162994384766,-1.4194886684417725
6,2,1061,442,1177,643,0.8045786023139954,0,1119,643,-2.868469476699829,-1.9752638339996338
6,3,337,247,390,394,0.2391750067472458,0,363,394,nan,nan
6,4,1056,368,1154,493,0.7606455683708191,0,1105,493,-0.7836108803749084,-2.103269338607788
7,1,883,395,1034,599,0.8687301874160767,0,958,599,-2.3863162994384766,-1.4194886684417725
7,2,1061,442,1177,642,0.8051683902740479,0,1119,642,-2.8589744567871094,-1.9761568307876587
7,4,1056,368,1154,493,0.7575832009315491,0,1105,493,-0.7836108803749084,-2.103269338607788
8,1,882,395,1033,599,0.8709321022033691,0,957,599,-2.3861725330352783,-1.4156886339187622
8,2,1061,442,1178,642,0.8094756007194519,0,1119,642,-2.8589744567871094,-1.9761568307876587
8,4,1057,368,1154,493,0.7791597247123718,0,1105,493,-0.7836108803749084,-2.103269338607788
9,1,882,395,1033,599,0.8721338510513306,0,957,599,-2.3861725330352783,-1.4156886339187622
9,2,1061,442,1178,643,0.8169379234313965,0,1119,643,-2.868469476699829,-1.9752638339996338
9,4,1057,368,1155,493,0.7827478051185608,0,1106,493,-0.7840731143951416,-2.1080992221832275
10,1,881,395,1033,600,0.8758910298347473,0,957,600,-2.397955894470215,-1.4160126447677612
10,2,1061,442,1178,644,0.8105372190475464,0,1119,644,-2.8779244422912598,-1.974374532699585
10,4,1056,368,1154,493,0.7758229970932007,0,1105,493,-0.7836108803749084,-2.103269338607788
11,1,881,395,1032,600,0.8778553009033203,0,956,600,-2.3978140354156494,-1.4122207164764404
11,2,1062,442,1178,642,0.788102924823761,0,1120,642,-2.8590469360351562,-1.97947359085083
11,4,1056,368,1155,494,0.7811508774757385,0,1105,494,-0.8038798570632935,-2.1015727519989014
12,1,881,395,1032,600,0.8789870142936707,0,956,600,-2.3978140354156494,-1.4122207164764404
12,2,1062,442,1178,640,0.7807078957557678,0,1120,640,-2.8399388790130615,-1.981284737586975
12,4,1056,368,1155,494,0.7783495187759399,0,1105,494,-0.8038798570632935,-2.1015727519989014
13,1,881,395,1032,601,0.8778676986694336,0,956,601,-2.409543514251709,-1.4125521183013916
13,2,1062,442,1178,640,0.7862305045127869,0,1120,640,-2.8399388790130615,-1.981284737586975
13,4,1056,368,1155,494,0.793699324131012,0,1105,494,-0.8038798570632935,-2.1015727519989014
14,1,881,395,1032,600,0.8790050745010376,0,956,600,-2.3978140354156494,-1.4122207164764404
14,2,1062,442,1177,639,0.7759013175964355,0,1119,639,-2.830247640609741,-1.978858470916748
14,4,1055,368,1155,494,0.7832561135292053,0,1105,494,-0.8038798570632935,-2.1015727519989014
15,1,881,395,1032,600,0.8789789080619812,0,956,600,-2.3978140354156494,-1.4122207164764404
15,2,1063,442,1177,637,0.7735050320625305,0,1120,637,-2.8109707832336426,-1.9840304851531982
15,4,1055,368,1154,494,0.7925553321838379,0,1104,494,-0.8034223914146423,-2.0967559814453125
16,1,881,395,1032,600,0.8810951113700867,0,956,600,-2.3978140354156494,-1.4122207164764404
16,2,1062,442,1177,638,0.7811795473098755,0,1119,638,-2.8205904960632324,-1.9797667264938354
16,4,1055,368,1155,495,0.8050633668899536,0,1105,495,-0.8240243792533875,-2.099886655807495
17,1,881,395,1032,600,0.8808802962303162,0,956,600,-2.3978140354156494,-1.4122207164764404
17,2,1062,442,1178,639,0.7916200757026672,0,1120,639,-2.8303239345550537,-1.9821960926055908
17,4,1053,368,1153,495,0.786716878414154,0,1103,495,-0.8231189250946045,-2.090280532836914
18,1,881,395,1032,600,0.8798341751098633,0,956,600,-2.3978140354156494,-1.4122207164764404
18,2,1062,443,1178,640,0.7878180742263794,0,1120,640,-2.8399388790130615,-1.981284737586975
18,4,1054,368,1154,495,0.8010296821594238,0,1104,495,-0.8235717415809631,-2.0950844287872314
19,1,881,395,1032,600,0.8776195645332336,0,956,600,-2.3978140354156494,-1.4122207164764404
19,2,1062,443,1178,640,0.7820545434951782,0,1120,640,-2.8399388790130615,-1.981284737586975
19,4,1055,368,1154,496,0.7935973405838013,0,1104,496,-0.8435976505279541,-2.0934231281280518
20,1,881,395,1032,601,0.8774292469024658,0,956,601,-2.409543514251709,-1.4125521183013916
20,2,1062,443,1178,640,0.7853823900222778,0,1120,640,-2.8399388790130615,-1.981284737586975
20,4,1055,368,1155,496,0.7966055870056152,0,1105,496,-0.8440455198287964,-2.0982108116149902
21,1,881,395,1032,601,0.8778766989707947,0,956,601,-2.409543514251709,-1.4125521183013916
21,2,1062,443,1178,639,0.7732408046722412,0,1120,639,-2.8303239345550537,-1.9821960926055908
21,4,1055,368,1155,496,0.7982744574546814,0,1105,496,-0.8440455198287964,-2.0982108116149902
22,1,881,395,1032,601,0.877273440361023,0,956,601,-2.409543514251709,-1.4125521183013916
22,2,1062,443,1178,638,0.7745676040649414,0,1120,638,-2.8206679821014404,-1.9831113815307617
22,4,1055,368,1155,496,0.7999076843261719,0,1105,496,-0.8440455198287964,-2.0982108116149902
23,1,881,395,1032,601,0.8760164976119995,0,956,601,-2.409543514251709,-1.4125521183013916
23,2,1062,443,1178,638,0.7739465236663818,0,1120,638,-2.8206679821014404,-1.9831113815307617
23,4,1055,368,1155,496,0.7977518439292908,0,1105,496,-0.8440455198287964,-2.0982108116149902
24,1,881,395,1032,601,0.8761071562767029,0,956,601,-2.409543514251709,-1.4125521183013916
24,2,1062,443,1178,638,0.7748008370399475,0,1120,638,-2.8206679821014404,-1.9831113815307617
24,4,1055,368,1155,496,0.8037800788879395,0,1105,496,-0.8440455198287964,-2.0982108116149902
25,1,881,395,1032,601,0.8767991065979004,0,956,601,-2.409543514251709,-1.4125521183013916
25,2,1062,444,1178,638,0.7769899964332581,0,1120,638,-2.8206679821014404,-1.9831113815307617
25,4,1055,368,1155,496,0.8076741099357605,0,1105,496,-0.8440455198287964,-2.0982108116149902
26,1,881,395,1032,601,0.8764939308166504,0,956,601,-2.409543514251709,-1.4125521183013916
26,2,1062,444,1178,638,0.7753854393959045,0,1120,638,-2.8206679821014404,-1.9831113815307617
26,4,1056,368,1156,496,0.8182587623596191,0,1106,496,-0.8444932699203491,-2.102997064590454
27,1,881,395,1032,601,0.8759647607803345,0,956,601,-2.409543514251709,-1.4125521183013916
27,2,1062,444,1178,638,0.7774335145950317,0,1120,638,-2.8206679821014404,-1.9831113815307617
