frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,count
0,1,809,683,960,955,0.9655126929283142,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,18
0,2,847,527,960,648,0.8646405935287476,0,903,648,-2.472443103790283,5.338397979736328,WALKWAY_1,18
0,3,1582,328,1692,523,0.6964083313941956,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,18
0,4,453,465,480,533,0.6958634853363037,0,466,533,8.118183135986328,4.272953510284424,WALKWAY_26,18
0,5,780,366,815,455,0.6638002991676331,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,18
0,6,733,377,779,471,0.6583275198936462,0,756,471,4.753100395202637,1.7748212814331055,WALKWAY_29,18
0,7,1411,329,1543,482,0.6406782865524292,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,18
0,8,620,394,706,552,0.5698309540748596,0,663,552,2.815835475921631,4.243391990661621,WALKWAY_25,18
1,1,809,683,960,955,0.9654679298400879,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,18
1,2,847,527,960,648,0.8622398376464844,0,903,648,-2.472443103790283,5.338397979736328,WALKWAY_1,18
1,3,1582,328,1692,523,0.6972037553787231,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,18
1,4,453,465,480,533,0.6954967975616455,0,466,533,8.118183135986328,4.272953510284424,WALKWAY_26,18
1,5,780,366,815,455,0.641701877117157,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,18
1,6,733,376,779,471,0.5944616794586182,0,756,471,4.753100395202637,1.7748212814331055,WALKWAY_29,18
1,7,1411,329,1543,482,0.6389139294624329,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,18
1,8,619,395,705,552,0.518955409526825,0,662,552,2.8338797092437744,4.243765830993652,WALKWAY_25,18
2,1,809,683,960,955,0.9655940532684326,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,18
2,2,847,527,960,648,0.8607892990112305,0,903,648,-2.472443103790283,5.338397979736328,WALKWAY_1,18
2,3,1582,328,1693,523,0.69707852602005,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,18
2,4,453,465,480,534,0.6971278190612793,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,18
2,5,780,366,815,455,0.6361523866653442,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,18
2,6,734,377,779,467,0.5254372358322144,0,756,467,4.930874824523926,1.7354334592819214,WALKWAY_29,18
2,7,1411,329,1543,482,0.6386494040489197,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,18
2,8,620,396,705,552,0.5041678547859192,0,662,552,2.8338797092437744,4.243765830993652,WALKWAY_25,18
3,1,809,683,960,955,0.9656619429588318,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,18
3,2,847,527,960,648,0.8618956804275513,0,903,648,-2.472443103790283,5.338397979736328,WALKWAY_1,18
3,3,1582,328,1693,523,0.697449803352356,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,18
3,4,453,466,480,534,0.7095698118209839,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,18
3,5,780,366,815,455,0.6197805404663086,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,18
3,6,733,376,778,469,0.5685031414031982,0,755,469,4.86114501953125,1.7562692165374756,WALKWAY_29,18
3,7,1411,329,1543,482,0.6384190320968628,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,18
3,8,620,396,705,552,nan,0,662,552,2.8338797092437744,4.243765830993652,WALKWAY_25,18
4,1,809,683,960,955,0.9655253887176514,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,18
4,2,846,528,960,649,0.8556943535804749,0,903,649,-2.485461711883545,5.346893787384033,WALKWAY_1,18
4,3,1582,328,1693,523,0.6984803676605225,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,18
4,4,453,467,480,534,0.7089730501174927,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,18
4,5,780,365,815,455,0.6381783485412598,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,18
4,6,732,377,778,471,0.627798855304718,0,755,471,4.7729878425598145,1.775740623474121,WALKWAY_29,18
4,7,1411,329,1543,482,0.6400456428527832,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,18
4,8,620,396,705,552,nan,0,662,552,2.8338797092437744,4.243765830993652,WALKWAY_25,18
5,1,809,683,960,955,0.9653042554855347,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,18
5,2,846,528,960,650,0.8548412919044495,0,903,650,-2.498429775238037,5.355356216430664,WALKWAY_1,18
5,3,1582,328,1693,523,0.6973648071289062,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,18
5,4,453,467,479,534,0.7082154750823975,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,18
5,5,779,364,815,456,0.59759920835495,0,797,456,4.579688549041748,1.5814645290374756,WALKWAY_29,18
5,6,731,377,777,472,0.5017213225364685,0,754,472,4.749425411224365,1.7862337827682495,WALKWAY_29,18
5,7,1411,329,1543,482,0.6335363984107971,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,18
5,8,620,396,705,552,nan,0,662,552,2.8338797092437744,4.243765830993652,WALKWAY_25,18
6,1,809,683,960,955,0.9651048183441162,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,18
6,2,846,528,960,650,0.854367196559906,0,903,650,-2.498429775238037,5.355356216430664,WALKWAY_1,18
6,3,1583,328,1693,523,0.6968660950660706,0,1638,523,-3.0546326637268066,1.402206540107727,WALKWAY_28,18
6,4,453,468,479,534,0.7076343894004822,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,18
6,5,779,364,816,456,0.5643792152404785,0,797,456,4.579688549041748,1.5814645290374756,WALKWAY_29,18
6,7,1411,329,1543,482,0.6340010166168213,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,18
6,6,731,377,777,472,nan,0,754,472,4.749425411224365,1.7862337827682495,WALKWAY_29,18
6,8,620,396,705,552,nan,0,662,552,2.8338797092437744,4.243765830993652,WALKWAY_25,18
7,1,809,683,960,955,0.9650961756706238,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,18
7,2,846,528,960,650,0.8533788323402405,0,903,650,-2.498429775238037,5.355356216430664,WALKWAY_1,18
7,3,1583,328,1693,523,0.6976906657218933,0,1638,523,-3.0546326637268066,1.402206540107727,WALKWAY_28,18
7,4,453,468,479,534,0.7089539766311646,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,18
7,5,779,364,815,456,0.5399720072746277,0,797,456,4.579688549041748,1.5814645290374756,WALKWAY_29,18
7,7,1411,329,1543,482,0.6322641372680664,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,18
7,6,731,377,777,472,nan,0,754,472,4.749425411224365,1.7862337827682495,WALKWAY_29,18
7,8,620,396,705,552,nan,0,662,552,2.8338797092437744,4.243765830993652,WALKWAY_25,18
8,1,809,683,960,955,0.9639163017272949,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,18
8,2,846,528,960,650,0.8545884490013123,0,903,650,-2.498429775238037,5.355356216430664,WALKWAY_1,18
8,3,1583,328,1694,523,0.6979115605354309,0,1638,523,-3.0546326637268066,1.402206540107727,WALKWAY_28,18
8,4,453,469,479,534,0.7194271683692932,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,18
