frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,count
1,1,883,394,1036,604,0.8467281460762024,0,959,604,-2.4448049068450928,-1.4248026609420776,WALKWAY_1,0
1,2,1056,368,1145,478,0.7024704813957214,0,1100,478,-0.461099237203598,-2.1047120094299316,WALKWAY_1,0
1,3,330,249,395,423,0.5984683036804199,0,362,423,nan,nan,,0
1,4,1063,444,1176,649,0.5136591792106628,0,1119,649,-2.9246087074279785,-1.9699839353561401,WALKWAY_1,0
2,1,883,395,1035,603,0.845342218875885,0,959,603,-2.4332454204559326,-1.4245024919509888,WALKWAY_1,0
2,2,1056,368,1145,479,0.7005549669265747,0,1100,479,-0.48341187834739685,-2.1029269695281982,WALKWAY_1,0
2,3,328,249,393,423,0.5951522588729858,0,360,423,nan,nan,,0
2,4,1062,444,1177,653,0.5349458456039429,0,1119,653,-2.9612622261047363,-1.9665367603302002,WALKWAY_1,0
3,1,883,395,1035,602,0.8485425114631653,0,959,602,-2.4216318130493164,-1.4242008924484253,WALKWAY_1,0
3,2,1056,368,1145,479,0.7008175849914551,0,1100,479,-0.48341187834739685,-2.1029269695281982,WALKWAY_1,0
3,3,327,247,392,423,0.6301108002662659,0,359,423,nan,nan,,0
3,4,1061,444,1178,654,0.5410630106925964,0,1119,654,-2.9703311920166016,-1.9656838178634644,WALKWAY_1,0
4,1,882,395,1034,602,0.848282516002655,0,958,602,-2.4214937686920166,-1.420428991317749,WALKWAY_1,0
4,2,1056,368,1145,479,0.704554557800293,0,1100,479,-0.48341187834739685,-2.1029269695281982,WALKWAY_1,0
4,3,327,246,393,423,0.5440418720245361,0,360,423,nan,nan,,0
4,4,1061,444,1178,653,0.5402157306671143,0,1119,653,-2.9612622261047363,-1.9665367603302002,WALKWAY_1,0
5,1,882,395,1034,602,0.8494279980659485,0,958,602,-2.4214937686920166,-1.420428991317749,WALKWAY_1,0
5,2,1056,368,1145,478,0.7047261595726013,0,1100,478,-0.461099237203598,-2.1047120094299316,WALKWAY_1,0
5,3,328,245,393,423,0.4446711838245392,0,360,423,nan,nan,,0
5,4,1062,444,1177,653,0.4983408749103546,0,1119,653,-2.9612622261047363,-1.9665367603302002,WALKWAY_1,0
6,1,881,395,1034,602,0.8529542684555054,0,957,602,-2.421355724334717,-1.4166560173034668,WALKWAY_1,0
6,2,1056,368,1144,478,0.7110495567321777,0,1100,478,-0.461099237203598,-2.1047120094299316,WALKWAY_1,0
6,4,1062,444,1177,652,0.5051458477973938,0,1119,652,-2.952155828475952,-1.967393159866333,WALKWAY_1,0
7,1,881,395,1034,602,0.8494467735290527,0,957,602,-2.421355724334717,-1.4166560173034668,WALKWAY_1,0
7,2,1056,368,1144,478,0.7127582430839539,0,1100,478,-0.461099237203598,-2.1047120094299316,WALKWAY_1,0
7,4,1062,444,1178,653,0.48210883140563965,0,1120,653,-2.9613211154937744,-1.9697792530059814,WALKWAY_1,0
8,1,881,395,1034,602,0.8465313911437988,0,957,602,-2.421355724334717,-1.4166560173034668,WALKWAY_1,0
8,2,1056,368,1144,478,0.7055564522743225,0,1100,478,-0.461099237203598,-2.1047120094299316,WALKWAY_1,0
8,4,1065,443,1175,641,0.46657833456993103,0,1120,641,-2.849513053894043,-1.980377197265625,WALKWAY_1,0
9,1,881,395,1034,602,0.8491497039794922,0,957,602,-2.421355724334717,-1.4166560173034668,WALKWAY_1,0
9,2,1056,368,1144,476,0.6948909759521484,0,1100,476,-0.416036993265152,-2.1083171367645264,WALKWAY_1,0
9,4,1066,443,1174,636,0.4341171085834503,0,1120,636,-2.801232099533081,-1.9849536418914795,WALKWAY_1,0
10,1,881,394,1034,603,0.8519666194915771,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
10,2,1057,368,1143,474,0.684447169303894,0,1100,474,-0.3703824579715729,-2.111969470977783,WALKWAY_1,0
10,4,1066,443,1174,635,0.44275835156440735,0,1120,635,-2.7914516925811768,-1.9858806133270264,WALKWAY_1,0
11,1,880,394,1035,603,0.851582407951355,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
11,2,1057,368,1143,474,0.665451169013977,0,1100,474,-0.3703824579715729,-2.111969470977783,WALKWAY_1,0
11,4,1062,444,1177,648,0.42886292934417725,0,1119,648,-2.9153497219085693,-1.9708547592163086,WALKWAY_1,0
12,1,880,394,1035,603,0.8508718609809875,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
12,2,1057,368,1143,474,0.6601287126541138,0,1100,474,-0.3703824579715729,-2.111969470977783,WALKWAY_1,0
12,4,1065,443,1175,639,0.4291658103466034,0,1120,639,-2.8303239345550537,-1.9821960926055908,WALKWAY_1,0
13,1,880,394,1035,603,0.8520983457565308,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
13,2,1057,368,1143,474,0.6611348986625671,0,1100,474,-0.3703824579715729,-2.111969470977783,WALKWAY_1,0
13,4,1065,443,1175,635,0.4398060739040375,0,1120,635,-2.7914516925811768,-1.9858806133270264,WALKWAY_1,0
14,1,880,394,1034,603,0.8540770411491394,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
14,2,1057,368,1143,474,0.664587676525116,0,1100,474,-0.3703824579715729,-2.111969470977783,WALKWAY_1,0
14,4,1066,443,1174,632,0.4308752119541168,0,1120,632,-2.761857271194458,-1.9886858463287354,WALKWAY_1,0
14,5,1052,442,1176,702,0.3347202241420746,0,1114,702,-3.3655967712402344,-1.9137517213821411,WALKWAY_1,0
15,1,880,394,1034,603,0.8528162837028503,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
15,2,1057,368,1143,473,0.6711475253105164,0,1100,473,-0.3473294675350189,-2.113813638687134,WALKWAY_1,0
15,4,1067,443,1174,629,0.4549214541912079,0,1120,629,-2.731877088546753,-1.9915275573730469,WALKWAY_1,0
15,5,1052,442,1176,703,0.3463355302810669,0,1114,703,-3.3730814456939697,-1.9130754470825195,WALKWAY_1,0
16,1,880,394,1034,603,0.8515591025352478,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
16,2,1058,368,1143,472,0.6725480556488037,0,1100,472,-0.32412394881248474,-2.1156702041625977,WALKWAY_1,0
16,4,1067,443,1174,627,0.4777778089046478,0,1120,627,-2.71167254447937,-1.9934426546096802,WALKWAY_1,0
16,5,1053,442,1176,701,0.3360286355018616,0,1114,701,-3.358083963394165,-1.9144304990768433,WALKWAY_1,0
17,1,880,395,1034,603,0.8516975045204163,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
17,2,1058,368,1142,471,0.6717107892036438,0,1100,471,-0.30076441168785095,-2.1175389289855957,WALKWAY_1,0
17,4,1066,443,1175,629,0.47473058104515076,0,1120,629,-2.731877088546753,-1.9915275573730469,WALKWAY_1,0
17,5,1055,442,1176,697,0.33676403760910034,0,1115,697,-3.327763319015503,-1.920150876045227,WALKWAY_1,0
18,1,880,395,1034,603,0.8516653180122375,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
18,2,1057,368,1142,471,0.6732781529426575,0,1099,471,-0.30017873644828796,-2.1123530864715576,WALKWAY_1,0
18,4,1066,443,1175,627,0.4710293710231781,0,1120,627,-2.71167254447937,-1.9934426546096802,WALKWAY_1,0
18,5,1056,442,1175,693,0.33371660113334656,0,1115,693,-3.2969677448272705,-1.9229562282562256,WALKWAY_1,0
19,1,880,395,1034,603,0.8521510362625122,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
19,2,1057,368,1143,472,0.6676487326622009,0,1100,472,-0.32412394881248474,-2.1156702041625977,WALKWAY_1,0
19,4,1066,443,1175,627,0.4750913381576538,0,1120,627,-2.71167254447937,-1.9934426546096802,WALKWAY_1,0
19,5,1056,442,1175,693,nan,0,1115,693,-3.2969677448272705,-1.9229562282562256,WALKWAY_1,0
20,1,880,395,1034,603,0.8527289032936096,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
20,2,1057,368,1143,472,0.6593706607818604,0,1100,472,-0.32412394881248474,-2.1156702041625977,WALKWAY_1,0
20,4,1065,443,1176,628,0.47179079055786133,0,1120,628,-2.721796751022339,-1.9924830198287964,WALKWAY_1,0
20,5,1056,442,1175,693,nan,0,1115,693,-3.2969677448272705,-1.9229562282562256,WALKWAY_1,0
21,1,880,394,1034,603,0.8534207344055176,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
21,2,1057,368,1143,472,0.6574016213417053,0,1100,472,-0.32412394881248474,-2.1156702041625977,WALKWAY_1,0
21,4,1065,443,1176,628,0.4678272306919098,0,1120,628,-2.721796751022339,-1.9924830198287964,WALKWAY_1,0
21,5,1057,442,1176,691,0.3332555592060089,0,1116,691,-3.2814137935638428,-1.9273875951766968,WALKWAY_1,0
22,1,880,394,1034,603,0.8544501662254333,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
22,2,1057,368,1142,470,0.6780387163162231,0,1099,470,-0.2766573429107666,-2.1142172813415527,WALKWAY_1,0
22,4,1065,443,1176,628,0.46679267287254333,0,1120,628,-2.721796751022339,-1.9924830198287964,WALKWAY_1,0
22,5,1057,442,1175,691,0.32852205634117126,0,1116,691,-3.2814137935638428,-1.9273875951766968,WALKWAY_1,0
23,1,880,394,1034,603,0.8543779253959656,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
23,2,1057,368,1142,470,0.6740037202835083,0,1099,470,-0.2766573429107666,-2.1142172813415527,WALKWAY_1,0
23,4,1065,443,1176,627,0.46090447902679443,0,1120,627,-2.71167254447937,-1.9934426546096802,WALKWAY_1,0
23,5,1056,442,1176,694,0.326803594827652,0,1116,694,-3.3047287464141846,-1.9252464771270752,WALKWAY_1,0
24,1,880,394,1034,603,0.8543705940246582,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
24,2,1057,368,1142,470,0.672817051410675,0,1099,470,-0.2766573429107666,-2.1142172813415527,WALKWAY_1,0
24,4,1065,443,1176,628,0.46516871452331543,0,1120,628,-2.721796751022339,-1.9924830198287964,WALKWAY_1,0
24,5,1056,442,1176,693,0.3275805115699768,0,1116,693,-3.2969868183135986,-1.925957441329956,WALKWAY_1,0
25,1,880,394,1034,603,0.8540160059928894,0,957,603,-2.4329731464385986,-1.4169753789901733,WALKWAY_1,0
25,2,1057,368,1142,470,0.6716731786727905,0,1099,470,-0.2766573429107666,-2.1142172813415527,WALKWAY_1,0
25,4,1064,443,1177,628,0.4701537787914276,0,1120,628,-2.721796751022339,-1.9924830198287964,WALKWAY_1,0
25,5,1056,442,1176,693,0.32941898703575134,0,1116,693,-3.2969868183135986,-1.925957441329956,WALKWAY_1,0
