frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_z,three_x
0,1,187.88,209.04,245.32,294.63,0.777,0,216.60,294.63,-4.0738,3.4049
0,2,245.31,218.71,315.58,321.18,0.664,0,280.44,321.18,-3.8660,4.4264
0,3,733.05,120.97,755.14,173.50,0.616,0,744.09,173.50,5.4325,7.1194
1,1,188.50,209.05,246.28,295.11,0.767,0,217.39,295.11,-4.0722,3.4217
1,2,246.19,218.72,316.58,321.27,0.684,0,281.38,321.27,-3.8607,4.4353
1,3,733.99,121.34,757.53,177.43,0.316,0,745.76,177.43,5.1209,7.2082
2,1,188.56,209.05,246.42,295.17,0.769,0,217.49,295.17,-4.0721,3.4239
2,2,246.31,218.72,316.79,321.29,0.684,0,281.55,321.29,-3.8597,4.4368
2,3,734.45,121.43,757.52,176.53,0.317,0,745.99,176.53,5.1999,7.1990
3,1,188.55,209.05,246.47,295.19,0.769,0,217.51,295.19,-4.0721,3.4246
3,2,246.30,218.73,316.89,321.29,0.684,0,281.59,321.29,-3.8595,4.4373
3,3,732.66,121.55,759.35,185.88,0.304,0,746.00,185.88,4.4596,7.3287
4,1,188.51,209.05,246.49,295.21,0.768,0,217.50,295.21,-4.0722,3.4248
4,2,246.25,218.75,316.95,321.30,0.685,0,281.60,321.30,-3.8595,4.4374
4,3,730.67,121.62,760.60,194.61,0.331,0,745.63,194.61,3.8447,7.4294
5,1,188.47,209.05,246.51,295.21,0.767,0,217.49,295.21,-4.0724,3.4249
5,2,246.23,218.75,317.08,321.30,0.685,0,281.66,321.30,-3.8592,4.4379
6,1,188.41,209.02,246.53,295.21,0.767,0,217.47,295.21,-4.0725,3.4246
6,2,246.14,218.75,317.15,321.32,0.684,0,281.65,321.32,-3.8594,4.4381
6,4,736.89,121.65,755.86,159.25,0.326,0,746.38,159.25,6.8836,6.9140
7,1,188.35,209.01,246.54,295.21,0.767,0,217.44,295.21,-4.0727,3.4244
7,2,245.92,218.75,317.09,321.36,0.685,0,281.51,321.36,-3.8607,4.4377
7,4,736.68,121.82,755.82,159.74,0.335,0,746.25,159.74,6.8267,6.9211
8,1,188.30,209.01,246.55,295.22,0.766,0,217.43,295.22,-4.0728,3.4244
8,2,245.58,218.74,316.84,321.36,0.684,0,281.21,321.36,-3.8625,4.4353
9,1,188.29,209.00,246.65,295.26,0.764,0,217.47,295.26,-4.0729,3.4258
9,2,245.44,218.74,316.76,321.34,0.681,0,281.10,321.34,-3.8631,4.4341
9,4,736.96,121.85,755.52,158.56,0.351,0,746.24,158.56,6.9583,6.8979
10,1,188.28,209.00,246.71,295.28,0.763,0,217.50,295.28,-4.0729,3.4265
10,2,245.16,218.74,316.56,321.39,0.687,0,280.86,321.39,-3.8651,4.4331
10,4,736.69,121.80,755.45,158.82,0.339,0,746.07,158.82,6.9254,6.8997
11,1,188.21,209.00,246.71,295.30,0.762,0,217.46,295.30,-4.0734,3.4266
11,2,245.06,218.74,316.50,321.40,0.683,0,280.78,321.40,-3.8657,4.4327
11,4,736.71,121.72,755.40,158.50,0.363,0,746.06,158.50,6.9616,6.8930
12,1,188.17,209.00,246.71,295.30,0.763,0,217.44,295.30,-4.0734,3.4264
12,2,245.02,218.74,316.49,321.39,0.681,0,280.76,321.39,-3.8658,4.4323
12,4,736.54,121.65,755.56,159.02,0.383,0,746.05,159.02,6.9031,6.9030
13,1,188.15,209.00,246.73,295.29,0.764,0,217.44,295.29,-4.0734,3.4261
13,2,245.01,218.74,316.50,321.38,0.679,0,280.75,321.38,-3.8657,4.4321
13,4,736.57,121.51,755.54,158.71,0.411,0,746.06,158.71,6.9377,6.8973
14,1,188.09,209.00,246.71,295.30,0.762,0,217.40,295.30,-4.0737,3.4260
14,2,244.99,218.74,316.51,321.37,0.677,0,280.75,321.37,-3.8657,4.4319
14,4,736.76,121.40,755.46,157.94,0.422,0,746.11,157.94,7.0263,6.8830
15,1,188.06,209.00,246.71,295.29,0.763,0,217.38,295.29,-4.0738,3.4257
15,2,244.97,218.73,316.51,321.37,0.676,0,280.74,321.37,-3.8657,4.4317
15,4,736.92,121.23,755.23,156.81,0.446,0,746.07,156.81,7.1546,6.8597
16,1,188.04,209.00,246.72,295.28,0.764,0,217.38,295.28,-4.0737,3.4254
16,2,244.93,218.70,316.50,321.33,0.679,0,280.72,321.33,-3.8655,4.4310
16,4,736.94,121.16,754.87,155.71,0.489,0,745.90,155.71,7.2801,6.8338
17,1,188.03,209.00,246.75,295.29,0.761,0,217.39,295.29,-4.0737,3.4257
17,2,244.94,218.72,316.49,321.32,0.688,0,280.71,321.32,-3.8654,4.4308
17,4,736.86,121.01,754.79,155.30,0.468,0,745.83,155.30,7.3268,6.8238
18,1,188.02,209.00,246.78,295.31,0.760,0,217.40,295.31,-4.0738,3.4261
18,2,244.88,218.73,316.44,321.33,0.687,0,280.66,321.33,-3.8658,4.4305
18,4,736.39,120.84,754.48,155.12,0.480,0,745.43,155.12,7.3410,6.8120
19,1,188.00,209.00,246.80,295.33,0.759,0,217.40,295.33,-4.0740,3.4267
19,2,244.76,218.76,316.39,321.50,0.696,0,280.57,321.50,-3.8678,4.4326
19,4,735.08,120.63,755.41,159.34,0.419,0,745.24,159.34,6.8531,6.8932
20,1,188.01,209.00,246.86,295.36,0.758,0,217.44,295.36,-4.0740,3.4276
20,2,244.48,218.76,316.17,321.72,0.679,0,280.32,321.72,-3.8713,4.4343
20,4,732.11,120.73,756.55,167.91,0.469,0,744.33,167.91,5.9515,7.0323
21,1,188.03,209.00,246.92,295.37,0.756,0,217.48,295.37,-4.0738,3.4281
