frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
0,1,792,698,1027,1004,0.657,0,909.500,1004.000,4.291172,-2.453929
0,2,604,679,798,946,0.444,0,701.000,946.000,3.435875,-3.147297
1,1,792,699,1022,1004,0.633,0,907.000,1004.000,4.285285,-2.459653
1,2,604,679,799,945,0.430,0,701.500,945.000,3.430195,-3.150214
2,1,792,699,1022,1004,0.635,0,907.000,1004.000,4.285285,-2.459653
2,2,604,679,799,945,0.432,0,701.500,945.000,3.430195,-3.150214
2,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
3,1,792,699,1022,1004,0.635,0,907.000,1004.000,4.285285,-2.459653
3,2,604,679,799,945,0.432,0,701.500,945.000,3.430195,-3.150214
3,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
4,1,792,699,1021,1004,0.633,0,906.500,1004.000,4.284108,-2.460797
4,2,604,679,799,945,0.430,0,701.500,945.000,3.430195,-3.150214
4,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
5,1,792,699,1020,1004,0.632,0,906.000,1004.000,4.282931,-2.461941
5,2,604,679,799,945,0.429,0,701.500,945.000,3.430195,-3.150214
5,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
6,1,792,699,1020,1004,0.629,0,906.000,1004.000,4.282931,-2.461941
6,2,604,680,799,945,0.425,0,701.500,945.000,3.430195,-3.150214
6,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
7,1,792,699,1020,1004,0.627,0,906.000,1004.000,4.282931,-2.461941
7,2,605,677,800,956,0.423,0,702.500,956.000,3.507786,-3.102961
7,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
8,1,792,699,1019,1003,0.623,0,905.500,1003.000,4.276567,-2.465924
8,2,605,677,800,956,0.422,0,702.500,956.000,3.507786,-3.102961
8,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
9,1,792,699,1020,1003,0.621,0,906.000,1003.000,4.277745,-2.464778
9,2,605,677,800,956,0.422,0,702.500,956.000,3.507786,-3.102961
9,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
10,1,792,699,1019,1003,0.624,0,905.500,1003.000,4.276567,-2.465924
10,2,605,677,799,956,0.421,0,702.000,956.000,3.506549,-3.104166
10,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
11,1,792,699,1019,1003,0.624,0,905.500,1003.000,4.276567,-2.465924
11,2,605,677,799,956,0.419,0,702.000,956.000,3.506549,-3.104166
11,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
12,1,792,699,1019,1003,0.622,0,905.500,1003.000,4.276567,-2.465924
12,2,605,677,799,956,0.418,0,702.000,956.000,3.506549,-3.104166
12,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
13,1,792,699,1019,1003,0.622,0,905.500,1003.000,4.276567,-2.465924
13,2,605,677,799,955,0.419,0,702.000,955.000,3.499827,-3.108178
13,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
14,1,792,699,1019,1003,0.623,0,905.500,1003.000,4.276567,-2.465924
14,2,605,677,799,956,0.418,0,702.000,956.000,3.506549,-3.104166
14,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
15,1,793,699,1019,1003,0.623,0,906.000,1003.000,4.277745,-2.464778
15,2,605,677,799,956,0.418,0,702.000,956.000,3.506549,-3.104166
15,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
16,1,792,699,1018,1003,0.621,0,905.000,1003.000,4.275388,-2.467070
16,2,605,677,799,956,0.415,0,702.000,956.000,3.506549,-3.104166
16,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
17,1,792,699,1018,1003,0.622,0,905.000,1003.000,4.275388,-2.467070
17,2,605,677,799,955,0.410,0,702.000,955.000,3.499827,-3.108178
17,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
18,1,792,699,1019,1003,0.627,0,905.500,1003.000,4.276567,-2.465924
18,2,605,677,800,955,0.414,0,702.500,955.000,3.501066,-3.106971
18,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
19,1,792,699,1019,1004,0.637,0,905.500,1004.000,4.281754,-2.463086
19,2,605,677,800,956,0.422,0,702.500,956.000,3.507786,-3.102961
19,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
20,1,792,699,1018,1004,0.637,0,905.000,1004.000,4.280577,-2.464230
20,2,605,677,800,956,0.421,0,702.500,956.000,3.507786,-3.102961
20,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
21,1,793,699,1017,1004,0.640,0,905.000,1004.000,4.280577,-2.464230
21,2,605,677,800,956,0.424,0,702.500,956.000,3.507786,-3.102961
21,3,2349,386,2431,622,0.416,0,2390.000,622.000,8.176744,3.485241
22,1,793,699,1018,1004,0.639,0,905.500,1004.000,4.281754,-2.463086
22,2,605,677,800,956,0.424,0,702.500,956.000,3.507786,-3.102961
22,3,2345,385,2425,601,0.406,0,2385.000,601.000,8.168021,3.787035
23,1,793,699,1018,1004,0.639,0,905.500,1004.000,4.281754,-2.463086
23,2,605,677,800,956,0.426,0,702.500,956.000,3.507786,-3.102961
23,3,2346,385,2426,602,0.429,0,2386.000,602.000,8.173771,3.776880
24,1,793,699,1018,1004,0.638,0,905.500,1004.000,4.281754,-2.463086
24,2,605,677,800,956,0.425,0,702.500,956.000,3.507786,-3.102961
24,3,2346,386,2426,600,0.402,0,2386.000,600.000,8.176253,3.811460
25,1,793,699,1017,1004,0.642,0,905.000,1004.000,4.280577,-2.464230
25,2,604,679,799,945,0.435,0,701.500,945.000,3.430195,-3.150214
25,3,2346,386,2426,600,0.402,0,2386.000,600.000,8.176253,3.811460
26,1,793,699,1017,1005,0.638,0,905.000,1005.000,4.285751,-2.461399
26,2,605,677,800,956,0.437,0,702.500,956.000,3.507786,-3.102961
26,3,2346,387,2428,620,0.454,0,2387.000,620.000,8.159588,3.495459
27,1,793,699,1017,1005,0.640,0,905.000,1005.000,4.285751,-2.461399
27,2,605,677,800,956,0.436,0,702.500,956.000,3.507786,-3.102961
27,3,2345,387,2426,620,0.433,0,2385.500,620.000,8.149856,3.485660
28,1,793,699,1017,1005,0.640,0,905.000,1005.000,4.285751,-2.461399
28,2,605,677,800,956,0.435,0,702.500,956.000,3.507786,-3.102961
28,3,2345,387,2426,620,0.435,0,2385.500,620.000,8.149856,3.485660
29,1,793,699,1017,1005,0.637,0,905.000,1005.000,4.285751,-2.461399
29,2,605,677,800,956,0.437,0,702.500,956.000,3.507786,-3.102961
29,3,2344,387,2425,619,0.453,0,2384.500,619.000,8.144406,3.494066
