frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
0,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
0,2,655,411,769,654,0.554,0,712.000,654.000,2.313789,4.912636
0,3,1561,325,1664,550,0.525,0,1612.500,550.000,-3.186288,0.424097
0,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
0,5,748,366,807,479,0.377,0,777.500,479.000,7.332928,1.660985
1,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
1,2,669,393,748,551,0.470,0,708.500,551.000,5.397593,3.426689
1,3,1565,325,1665,550,0.443,0,1615.000,550.000,-3.204540,0.417776
1,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
1,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
2,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
2,2,665,389,746,556,0.473,0,705.500,556.000,5.258042,3.526253
2,3,1565,325,1665,550,0.443,0,1615.000,550.000,-3.204540,0.417776
2,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
2,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
3,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
3,2,650,392,747,552,0.448,0,698.500,552.000,5.486197,3.487349
3,3,1565,325,1665,550,0.444,0,1615.000,550.000,-3.204540,0.417776
3,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
3,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
4,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
4,2,649,395,746,552,0.405,0,697.500,552.000,5.498657,3.491684
4,3,1565,325,1665,550,0.430,0,1615.000,550.000,-3.204540,0.417776
4,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
4,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
5,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
5,2,649,395,746,552,0.405,0,697.500,552.000,5.498657,3.491684
5,3,1565,326,1664,550,0.398,0,1614.500,550.000,-3.200892,0.419039
5,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
5,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
6,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
6,2,649,395,746,552,0.405,0,697.500,552.000,5.498657,3.491684
6,3,1565,326,1664,550,0.407,0,1614.500,550.000,-3.200892,0.419039
6,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
6,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
7,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
7,2,644,398,731,549,0.383,0,687.500,549.000,5.733050,3.482746
7,3,1565,326,1664,550,0.405,0,1614.500,550.000,-3.200892,0.419039
7,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
7,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
8,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
8,2,644,398,731,549,0.383,0,687.500,549.000,5.733050,3.482746
8,3,1565,326,1664,550,0.397,0,1614.500,550.000,-3.200892,0.419039
8,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
8,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
9,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
9,2,644,398,731,549,0.383,0,687.500,549.000,5.733050,3.482746
9,3,1565,326,1664,550,0.408,0,1614.500,550.000,-3.200892,0.419039
9,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
9,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
10,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
10,2,644,398,731,549,0.383,0,687.500,549.000,5.733050,3.482746
10,3,1565,326,1664,550,0.396,0,1614.500,550.000,-3.200892,0.419039
10,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
10,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
11,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
11,2,635,393,723,558,0.372,0,679.000,558.000,5.513984,3.675332
11,3,1565,326,1664,550,0.403,0,1614.500,550.000,-3.200892,0.419039
11,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
11,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
12,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
12,2,635,397,719,555,0.480,0,677.000,555.000,5.646731,3.632948
12,3,1565,326,1665,550,0.418,0,1615.000,550.000,-3.204540,0.417776
12,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
12,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
13,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
13,2,630,396,716,555,0.507,0,673.000,555.000,5.696905,3.650527
13,3,1565,326,1665,550,0.411,0,1615.000,550.000,-3.204540,0.417776
13,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
13,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
14,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
14,2,628,399,717,554,0.484,0,672.500,554.000,5.739614,3.635560
14,3,1565,326,1665,550,0.420,0,1615.000,550.000,-3.204540,0.417776
14,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
14,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
15,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
15,2,625,397,713,557,0.458,0,669.000,557.000,5.674531,3.702266
15,3,1565,325,1665,550,0.430,0,1615.000,550.000,-3.204540,0.417776
15,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
15,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
16,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
16,2,621,397,711,559,0.376,0,666.000,559.000,5.639795,3.749328
16,3,1565,326,1665,550,0.423,0,1615.000,550.000,-3.204540,0.417776
16,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
16,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
17,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
17,2,617,398,702,558,0.412,0,659.500,558.000,5.757380,3.761193
17,3,1565,325,1665,550,0.441,0,1615.000,550.000,-3.204540,0.417776
17,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
17,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
18,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
18,2,617,398,701,558,0.427,0,659.000,558.000,5.763663,3.763409
18,3,1565,325,1665,550,0.441,0,1615.000,550.000,-3.204540,0.417776
18,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
18,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
19,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
19,2,616,398,698,558,0.422,0,657.000,558.000,5.788816,3.772282
19,3,1565,325,1665,550,0.428,0,1615.000,550.000,-3.204540,0.417776
19,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
19,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
20,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
20,2,616,397,696,558,0.424,0,656.000,558.000,5.801406,3.776723
20,3,1565,326,1665,550,0.427,0,1615.000,550.000,-3.204540,0.417776
20,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
20,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
21,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
21,2,615,395,688,557,0.438,0,651.500,557.000,5.894942,3.779842
21,3,1565,326,1665,550,0.409,0,1615.000,550.000,-3.204540,0.417776
21,4,2112,211,2172,401,0.423,0,2142.000,401.000,-5.072506,-3.975635
21,5,724,380,785,483,0.354,0,754.500,483.000,7.494799,1.852840
22,1,1768,252,1887,580,0.709,0,1827.500,580.000,-5.005918,0.419350
22,2,614,397,687,560,0.410,0,650.500,560.000,5.797606,3.834805
