frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,aspect_ratio
0,1,809,683,960,955,0.9655126929283142,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,1.8013245033112584
0,2,847,527,960,648,0.8646402955055237,0,903,648,-1.392270803451538,5.16225528717041,WALKWAY_1,1.0707964601769913
0,3,1582,328,1692,523,0.6964084506034851,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,1.7727272727272727
0,4,453,465,480,533,0.6958632469177246,0,466,533,8.118183135986328,4.272953510284424,WALKWAY_26,2.5185185185185186
0,5,780,366,815,455,0.6638002991676331,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,2.5428571428571427
0,6,733,377,779,471,0.6583269834518433,0,756,471,4.753100395202637,1.7748212814331055,WALKWAY_29,2.0434782608695654
0,7,1411,329,1543,482,0.6406777501106262,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,1.1590909090909092
0,8,620,394,706,552,0.5698308944702148,0,663,552,2.815835475921631,4.243391990661621,WALKWAY_25,1.8372093023255813
1,1,809,683,960,955,0.9654679298400879,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,1.8013245033112584
1,2,847,527,960,648,0.8622400760650635,0,903,648,-1.392270803451538,5.16225528717041,WALKWAY_1,1.0707964601769913
1,3,1582,328,1692,523,0.6972035765647888,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,1.7727272727272727
1,4,453,465,480,533,0.6954966187477112,0,466,533,8.118183135986328,4.272953510284424,WALKWAY_26,2.5185185185185186
1,5,780,366,815,455,0.6417026519775391,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,2.5428571428571427
1,6,733,376,779,471,0.594460666179657,0,756,471,4.753100395202637,1.7748212814331055,WALKWAY_29,2.0652173913043477
1,7,1411,329,1543,482,0.6389140486717224,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,1.1590909090909092
1,8,619,395,705,552,0.5189546942710876,0,662,552,2.8338797092437744,4.243765830993652,WALKWAY_25,1.8255813953488371
2,1,809,683,960,955,0.9655941724777222,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,1.8013245033112584
2,2,847,527,960,648,0.8607898354530334,0,903,648,-1.392270803451538,5.16225528717041,WALKWAY_1,1.0707964601769913
2,3,1582,328,1693,523,0.6970790028572083,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,1.7567567567567568
2,4,453,465,480,534,0.6971278786659241,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,2.5555555555555554
2,5,780,366,815,455,0.6361522078514099,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,2.5428571428571427
2,6,734,377,779,467,0.5254361629486084,0,756,467,4.930874824523926,1.7354334592819214,WALKWAY_29,2.0
2,7,1411,329,1543,482,0.6386486887931824,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,1.1590909090909092
2,8,620,396,705,552,0.5041685104370117,0,662,552,2.8338797092437744,4.243765830993652,WALKWAY_25,1.8352941176470587
3,1,809,683,960,955,0.9656620621681213,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,1.8013245033112584
3,2,847,527,960,648,0.861895740032196,0,903,648,-1.392270803451538,5.16225528717041,WALKWAY_1,1.0707964601769913
3,3,1582,328,1693,523,0.697449803352356,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,1.7567567567567568
3,4,453,466,480,534,0.7095695734024048,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,2.5185185185185186
3,5,780,366,815,455,0.619780421257019,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,2.5428571428571427
3,6,733,376,778,469,0.5685040354728699,0,755,469,4.86114501953125,1.7562692165374756,WALKWAY_29,2.066666666666667
3,7,1411,329,1543,482,0.6384186744689941,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,1.1590909090909092
4,1,809,683,960,955,0.9655252695083618,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,1.8013245033112584
4,2,846,528,960,649,0.8556946516036987,0,903,649,-1.4341131448745728,5.172799587249756,WALKWAY_1,1.0614035087719298
4,3,1582,328,1693,523,0.6984805464744568,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,1.7567567567567568
4,4,453,467,480,534,0.7089717388153076,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,2.4814814814814814
4,5,780,365,815,455,0.6381786465644836,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,2.5714285714285716
4,6,732,377,778,471,0.6277976036071777,0,755,471,4.7729878425598145,1.775740623474121,WALKWAY_29,2.0434782608695654
4,7,1411,329,1543,482,0.6400453448295593,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,1.1590909090909092
5,1,809,683,960,955,0.9653042554855347,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,1.8013245033112584
5,2,846,528,960,650,0.8548411726951599,0,903,650,-1.4630366563796997,5.180088520050049,WALKWAY_1,1.0701754385964912
