frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,count
0,1,809,683,960,955,0.9655126929283142,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,0
0,2,847,527,960,648,0.8646405935287476,0,903,648,-2.472443103790283,5.338397979736328,WALKWAY_1,0
0,3,1582,328,1692,523,0.6964083313941956,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,0
0,4,453,465,480,533,0.6958634853363037,0,466,533,8.118183135986328,4.272953510284424,WALKWAY_26,0
0,5,780,366,815,455,0.6638002991676331,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,0
0,6,733,377,779,471,0.6583275198936462,0,756,471,4.753100395202637,1.7748212814331055,WALKWAY_29,0
0,7,1411,329,1543,482,0.6406782865524292,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,0
0,8,620,394,706,552,0.5698309540748596,0,663,552,2.815835475921631,4.243391990661621,WALKWAY_25,0
0,9,391,511,423,557,0.43393072485923767,0,407,557,nan,nan,,0
0,10,456,453,488,531,0.39529353380203247,0,472,531,8.114598274230957,4.2256927490234375,WALKWAY_26,0
1,1,809,683,960,955,0.9654679298400879,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,0
1,2,847,527,960,648,0.8622398376464844,0,903,648,-2.472443103790283,5.338397979736328,WALKWAY_1,0
1,3,1582,328,1692,523,0.6972037553787231,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,0
1,4,453,465,480,533,0.6954967975616455,0,466,533,8.118183135986328,4.272953510284424,WALKWAY_26,0
1,5,780,366,815,455,0.641701877117157,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,0
1,6,733,376,779,471,0.5944616794586182,0,756,471,4.753100395202637,1.7748212814331055,WALKWAY_29,0
1,7,1411,329,1543,482,0.6389139294624329,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,0
1,8,619,395,705,552,0.518955409526825,0,662,552,2.8338797092437744,4.243765830993652,WALKWAY_25,0
1,9,391,512,423,557,0.4006250500679016,0,407,557,nan,nan,,0
1,10,456,453,488,531,0.3934917449951172,0,472,531,8.114598274230957,4.2256927490234375,WALKWAY_26,0
2,1,809,683,960,955,0.9655940532684326,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,0
2,2,847,527,960,648,0.8607892990112305,0,903,648,-2.472443103790283,5.338397979736328,WALKWAY_1,0
2,3,1582,328,1693,523,0.69707852602005,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,0
2,4,453,465,480,534,0.6971278190612793,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,0
2,5,780,366,815,455,0.6361523866653442,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,0
2,6,734,377,779,467,0.5254372358322144,0,756,467,4.930874824523926,1.7354334592819214,WALKWAY_29,0
2,7,1411,329,1543,482,0.6386494040489197,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,0
2,8,620,396,705,552,0.5041678547859192,0,662,552,2.8338797092437744,4.243765830993652,WALKWAY_25,0
2,9,391,512,422,557,0.397527813911438,0,406,557,nan,nan,,0
2,10,455,453,488,531,0.3966013193130493,0,471,531,8.13674259185791,4.227896690368652,WALKWAY_26,0
3,1,809,683,960,955,0.9656619429588318,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,0
3,2,847,527,960,648,0.8618956804275513,0,903,648,-2.472443103790283,5.338397979736328,WALKWAY_1,0
3,3,1582,328,1693,523,0.697449803352356,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,0
3,4,453,466,480,534,0.7095698118209839,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,0
3,5,780,366,815,455,0.6197805404663086,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,0
3,6,733,376,778,469,0.5685031414031982,0,755,469,4.86114501953125,1.7562692165374756,WALKWAY_29,0
3,7,1411,329,1543,482,0.6384190320968628,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,0
3,8,621,396,706,552,0.3959079384803772,0,663,552,2.815835475921631,4.243391990661621,WALKWAY_25,0
3,9,391,512,422,557,0.40170004963874817,0,406,557,nan,nan,,0
3,10,455,454,487,531,0.39747944474220276,0,471,531,8.13674259185791,4.227896690368652,WALKWAY_26,0
4,1,809,683,960,955,0.9655253887176514,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,0
4,2,846,528,960,649,0.8556943535804749,0,903,649,-2.485461711883545,5.346893787384033,WALKWAY_1,0
4,3,1582,328,1693,523,0.6984803676605225,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,0
4,4,453,467,480,534,0.7089730501174927,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,0
4,5,780,365,815,455,0.6381783485412598,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,0
