frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
0,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.648999,1.625539
0,2,655,411,769,654,0.554,0,712.000,654.000,2.209079,4.888491
0,3,1561,325,1664,550,0.525,0,1612.500,550.000,-3.129800,1.201910
0,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.307248,-2.740978
0,5,748,366,807,479,0.377,0,777.500,479.000,15.379944,-1.670876
1,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.648999,1.625539
1,2,669,393,748,551,0.470,0,708.500,551.000,8.390401,2.434915
1,3,1565,325,1665,550,0.443,0,1615.000,550.000,-3.145611,1.200282
1,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.307248,-2.740978
1,5,724,380,785,483,0.354,0,754.500,483.000,15.753598,-1.394260
2,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.648999,1.625539
2,2,665,389,746,556,0.473,0,705.500,556.000,8.015361,2.623923
2,3,1565,325,1665,550,0.443,0,1615.000,550.000,-3.145611,1.200282
2,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.307248,-2.740978
2,5,723,379,785,482,0.325,0,754.000,482.000,15.970425,-1.479294
2,6,785,339,853,467,0.312,0,819.000,467.000,15.605859,-2.593924
3,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.648999,1.625539
3,2,650,392,747,552,0.448,0,698.500,552.000,8.557297,2.499462
3,3,1565,325,1665,550,0.444,0,1615.000,550.000,-3.145611,1.200282
3,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.307248,-2.740978
3,5,721,378,784,481,0.314,0,752.500,481.000,16.242126,-1.568482
3,6,785,339,853,467,0.312,0,819.000,467.000,15.605859,-2.593924
4,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.648999,1.625539
4,2,649,395,746,552,0.405,0,697.500,552.000,8.583486,2.502266
4,3,1565,325,1665,550,0.430,0,1615.000,550.000,-3.145611,1.200282
4,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.307248,-2.740978
4,5,720,377,784,480,0.317,0,752.000,480.000,16.467394,-1.656674
4,6,785,339,853,467,0.312,0,819.000,467.000,15.605859,-2.593924
5,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.648999,1.625539
5,2,649,395,746,552,0.405,0,697.500,552.000,8.583486,2.502266
5,3,1565,326,1664,550,0.398,0,1614.500,550.000,-3.142452,1.200607
5,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.307248,-2.740978
5,5,720,377,784,480,0.317,0,752.000,480.000,16.467394,-1.656674
5,6,785,339,853,467,0.312,0,819.000,467.000,15.605859,-2.593924
6,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.648999,1.625539
6,2,649,395,746,552,0.405,0,697.500,552.000,8.583486,2.502266
6,3,1565,326,1664,550,0.407,0,1614.500,550.000,-3.142452,1.200607
6,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.307248,-2.740978
6,5,719,377,784,480,0.308,0,751.500,480.000,16.493431,-1.658103
6,6,785,339,853,467,0.312,0,819.000,467.000,15.605859,-2.593924
7,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.648999,1.625539
7,2,644,398,731,549,0.383,0,687.500,549.000,9.142822,2.417128
7,3,1565,326,1664,550,0.405,0,1614.500,550.000,-3.142452,1.200607
7,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.307248,-2.740978
7,5,720,378,785,482,0.338,0,752.500,482.000,16.045956,-1.483067
7,6,785,339,853,467,0.312,0,819.000,467.000,15.605859,-2.593924
8,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.648999,1.625539
8,2,643,397,736,548,0.326,0,689.500,548.000,9.187398,2.372946
8,3,1565,326,1664,550,0.397,0,1614.500,550.000,-3.142452,1.200607
8,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.307248,-2.740978
8,5,719,379,785,483,0.331,0,752.000,483.000,15.877722,-1.400155
8,6,785,339,853,467,0.312,0,819.000,467.000,15.605859,-2.593924
