frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z
0,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
0,2,655,411,769,654,0.554,0,712.000,654.000,2.836519,4.622067
0,3,1561,325,1664,550,0.525,0,1612.500,550.000,-3.102808,0.818076
0,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
0,5,748,366,807,479,0.377,0,777.500,479.000,13.391380,-0.649496
1,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
1,2,669,393,748,551,0.470,0,708.500,551.000,8.353022,2.468132
1,3,1565,325,1665,550,0.443,0,1615.000,550.000,-3.120241,0.815628
1,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
1,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
2,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
2,2,665,389,746,556,0.473,0,705.500,556.000,8.049212,2.625132
2,3,1565,325,1665,550,0.443,0,1615.000,550.000,-3.120241,0.815628
2,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
2,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
3,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
3,2,650,392,747,552,0.448,0,698.500,552.000,8.509479,2.531316
3,3,1565,325,1665,550,0.444,0,1615.000,550.000,-3.120241,0.815628
3,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
3,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
4,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
4,2,649,395,746,552,0.405,0,697.500,552.000,8.532900,2.534681
4,3,1565,325,1665,550,0.430,0,1615.000,550.000,-3.120241,0.815628
4,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
4,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
5,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
5,2,649,395,746,552,0.405,0,697.500,552.000,8.532900,2.534681
5,3,1565,326,1664,550,0.398,0,1614.500,550.000,-3.116758,0.816117
5,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
5,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
6,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
6,2,649,395,746,552,0.405,0,697.500,552.000,8.532900,2.534681
6,3,1565,326,1664,550,0.407,0,1614.500,550.000,-3.116758,0.816117
6,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
6,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
7,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
7,2,644,398,731,549,0.383,0,687.500,549.000,9.008417,2.477454
7,3,1565,326,1664,550,0.405,0,1614.500,550.000,-3.116758,0.816117
7,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
7,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
8,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
8,2,644,398,731,549,0.383,0,687.500,549.000,9.008417,2.477454
8,3,1565,326,1664,550,0.397,0,1614.500,550.000,-3.116758,0.816117
8,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
8,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
9,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
9,2,644,398,731,549,0.383,0,687.500,549.000,9.008417,2.477454
9,3,1565,326,1664,550,0.408,0,1614.500,550.000,-3.116758,0.816117
9,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
9,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
10,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
10,2,644,398,731,549,0.383,0,687.500,549.000,9.008417,2.477454
10,3,1565,326,1664,550,0.396,0,1614.500,550.000,-3.116758,0.816117
10,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
10,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
11,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
11,2,635,393,723,558,0.372,0,679.000,558.000,8.505228,2.774430
11,3,1565,326,1664,550,0.403,0,1614.500,550.000,-3.116758,0.816117
11,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
11,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
12,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
12,2,635,397,719,555,0.480,0,677.000,555.000,8.784280,2.694417
12,3,1565,326,1665,550,0.418,0,1615.000,550.000,-3.120241,0.815628
12,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
12,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
13,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
13,2,630,396,716,555,0.507,0,673.000,555.000,8.879930,2.708618
13,3,1565,326,1665,550,0.411,0,1615.000,550.000,-3.120241,0.815628
13,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
13,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
14,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
14,2,628,399,717,554,0.484,0,672.500,554.000,8.971522,2.680808
14,3,1565,326,1665,550,0.420,0,1615.000,550.000,-3.120241,0.815628
14,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
14,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
15,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
15,2,625,397,713,557,0.458,0,669.000,557.000,8.817894,2.781455
15,3,1565,325,1665,550,0.430,0,1615.000,550.000,-3.120241,0.815628
15,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
15,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
16,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
16,2,621,397,711,559,0.376,0,666.000,559.000,8.732794,2.849954
16,3,1565,326,1665,550,0.423,0,1615.000,550.000,-3.120241,0.815628
16,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
16,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
17,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
17,2,617,398,702,558,0.412,0,659.500,558.000,8.966439,2.845098
17,3,1565,325,1665,550,0.441,0,1615.000,550.000,-3.120241,0.815628
17,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
17,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
18,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
18,2,617,398,701,558,0.427,0,659.000,558.000,8.978484,2.846944
18,3,1565,325,1665,550,0.441,0,1615.000,550.000,-3.120241,0.815628
18,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
18,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
19,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
19,2,616,398,698,558,0.422,0,657.000,558.000,9.026776,2.854343
19,3,1565,325,1665,550,0.428,0,1615.000,550.000,-3.120241,0.815628
19,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
19,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
20,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
20,2,616,397,696,558,0.424,0,656.000,558.000,9.050989,2.858053
20,3,1565,326,1665,550,0.427,0,1615.000,550.000,-3.120241,0.815628
20,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
20,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
21,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
21,2,615,395,688,557,0.438,0,651.500,557.000,9.241785,2.845734
21,3,1565,326,1665,550,0.409,0,1615.000,550.000,-3.120241,0.815628
21,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
21,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
22,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
22,2,614,397,687,560,0.410,0,650.500,560.000,9.024103,2.936070
22,3,1565,326,1665,550,0.411,0,1615.000,550.000,-3.120241,0.815628
22,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
22,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
23,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
23,2,613,397,686,559,0.441,0,649.500,559.000,9.128527,2.911213
23,3,1565,326,1665,550,0.418,0,1615.000,550.000,-3.120241,0.815628
23,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
23,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
24,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
24,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
24,3,1565,326,1665,550,0.403,0,1615.000,550.000,-3.120241,0.815628
24,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
24,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
25,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
25,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
25,3,1565,326,1665,550,0.396,0,1615.000,550.000,-3.120241,0.815628
25,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
25,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
26,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
26,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
26,3,1565,326,1664,550,0.396,0,1614.500,550.000,-3.116758,0.816117
26,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
26,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
27,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
27,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
27,3,1565,326,1664,550,0.385,0,1614.500,550.000,-3.116758,0.816117
27,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
27,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
28,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
28,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
28,3,1565,326,1664,550,0.379,0,1614.500,550.000,-3.116758,0.816117
28,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
28,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
29,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
29,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
29,3,1565,326,1664,550,0.371,0,1614.500,550.000,-3.116758,0.816117
29,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
29,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
30,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
30,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
30,3,1565,326,1664,550,0.370,0,1614.500,550.000,-3.116758,0.816117
30,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
30,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
31,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
31,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
31,3,1565,326,1664,550,0.377,0,1614.500,550.000,-3.116758,0.816117
31,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
31,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
32,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
32,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
32,3,1565,326,1664,550,0.365,0,1614.500,550.000,-3.116758,0.816117
32,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
32,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
33,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
33,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
33,3,1565,326,1664,550,0.385,0,1614.500,550.000,-3.116758,0.816117
33,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
33,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
34,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
34,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
34,3,1565,326,1664,550,0.383,0,1614.500,550.000,-3.116758,0.816117
34,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
34,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
35,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
35,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
35,3,1565,326,1664,550,0.381,0,1614.500,550.000,-3.116758,0.816117
35,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
35,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
36,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
36,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
36,3,1565,326,1664,550,0.383,0,1614.500,550.000,-3.116758,0.816117
36,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
36,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
37,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
37,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
37,3,1565,326,1664,550,0.396,0,1614.500,550.000,-3.116758,0.816117
37,4,2112,211,2172,401,0.423,0,2142.000,401.000,-4.582194,-2.994579
37,5,724,380,785,483,0.354,0,754.500,483.000,13.722045,-0.410613
38,1,1768,252,1887,580,0.709,0,1827.500,580.000,-4.777793,1.154885
38,2,617,397,685,559,0.387,0,651.000,559.000,9.092050,2.905567
